county,aqi,pollutant,number_of_sites_reporting,date
Jefferson,34,Ozone,1,2021-02-12
Jefferson,33,Ozone,1,2021-02-13
Jefferson,36,Ozone,1,2021-02-14
Jefferson,38,Ozone,1,2021-02-15
Jefferson,35,Ozone,1,2021-02-16
Jefferson,35,Ozone,1,2021-02-17
Jefferson,39,Ozone,1,2021-02-18
Jefferson,35,Ozone,1,2021-02-19
Jefferson,39,Ozone,1,2021-02-20
Jefferson,41,Ozone,1,2021-02-21
Jefferson,45,Ozone,1,2021-02-22
Jefferson,45,Ozone,1,2021-02-23
Jefferson,41,Ozone,1,2021-02-26
Jefferson,43,Ozone,1,2021-02-27
Jefferson,39,Ozone,1,2021-02-28
Jefferson,39,Ozone,1,2021-03-02
Jefferson,36,Ozone,1,2021-03-03
Jefferson,39,Ozone,1,2021-03-04
Jefferson,41,Ozone,1,2021-03-05
Jefferson,37,Ozone,1,2021-03-06
Jefferson,37,Ozone,1,2021-03-07
Jefferson,40,Ozone,1,2021-03-08
Jefferson,40,Ozone,1,2021-03-09
Jefferson,64,Ozone,1,2021-03-10
Jefferson,50,Ozone,1,2021-03-11
Jefferson,40,Ozone,1,2021-03-12
Jefferson,38,Ozone,1,2021-03-13
Jefferson,40,Ozone,1,2021-03-14
Jefferson,38,Ozone,1,2021-03-15
Jefferson,40,Ozone,1,2021-03-16
Jefferson,35,Ozone,1,2021-03-17
Jefferson,37,Ozone,1,2021-03-18
Jefferson,40,Ozone,1,2021-03-19
Jefferson,41,Ozone,1,2021-03-20
Jefferson,46,Ozone,1,2021-03-21
Jefferson,54,Ozone,1,2021-03-22
Jefferson,64,Ozone,1,2021-03-23
Jefferson,38,Ozone,1,2021-03-24
Jefferson,44,Ozone,1,2021-03-25
Jefferson,25,Ozone,1,2021-03-26
Jefferson,33,Ozone,1,2021-03-27
Jefferson,37,Ozone,1,2021-03-28
Jefferson,39,Ozone,1,2021-03-29
Jefferson,49,Ozone,1,2021-03-30
Jefferson,44,Ozone,1,2021-03-31
Kings,42,PM2.5,3,2021-01-01
Kings,31,PM2.5,2,2021-01-02
Kings,36,PM2.5,2,2021-01-03
Kings,36,PM2.5,3,2021-01-04
Kings,34,PM2.5,1,2021-01-05
Kings,31,PM2.5,2,2021-01-06
Kings,24,PM2.5,2,2021-01-07
Kings,39,PM2.5,2,2021-01-08
Kings,30,PM2.5,2,2021-01-09
Kings,38,PM2.5,2,2021-01-10
Kings,54,PM2.5,2,2021-01-11
Kings,65,PM2.5,2,2021-01-12
Kings,61,PM2.5,2,2021-01-13
Kings,65,PM2.5,2,2021-01-14
Kings,54,PM2.5,2,2021-01-15
Kings,26,PM2.5,2,2021-01-16
Kings,36,PM2.5,2,2021-01-17
Kings,35,PM2.5,2,2021-01-18
Kings,42,PM2.5,3,2021-01-19
Kings,37,PM2.5,2,2021-01-20
Kings,40,PM2.5,2,2021-01-21
Kings,38,PM2.5,3,2021-01-22
Kings,34,PM2.5,2,2021-01-23
Kings,32,PM2.5,2,2021-01-24
Kings,37,PM2.5,3,2021-01-25
Kings,33,PM2.5,2,2021-01-26
Kings,43,PM2.5,2,2021-01-27
Kings,21,PM2.5,3,2021-01-28
Kings,17,PM2.5,2,2021-01-29
Kings,24,PM2.5,2,2021-01-30
Kings,31,PM2.5,3,2021-01-31
Kings,21,PM2.5,2,2021-02-01
Kings,22,PM2.5,2,2021-02-02
Kings,25,PM2.5,3,2021-02-03
Kings,30,PM2.5,2,2021-02-04
Kings,41,PM2.5,2,2021-02-05
Kings,36,PM2.5,3,2021-02-06
Kings,40,PM2.5,2,2021-02-07
Kings,34,PM2.5,2,2021-02-08
Kings,61,PM2.5,3,2021-02-09
Kings,45,PM2.5,2,2021-02-10
Kings,38,PM2.5,2,2021-02-11
Kings,29,PM2.5,3,2021-02-12
Kings,28,PM2.5,2,2021-02-13
Kings,38,PM2.5,2,2021-02-14
Kings,45,PM2.5,3,2021-02-15
Kings,22,PM2.5,1,2021-02-16
Kings,33,PM2.5,2,2021-02-17
Kings,28,PM2.5,3,2021-02-18
Kings,28,PM2.5,2,2021-02-19
Kings,38,PM2.5,2,2021-02-20
Kings,40,PM2.5,3,2021-02-21
Kings,30,PM2.5,2,2021-02-22
Kings,40,PM2.5,2,2021-02-23
Kings,29,PM2.5,3,2021-02-24
Kings,41,PM2.5,2,2021-02-25
Kings,30,PM2.5,2,2021-02-26
Kings,22,PM2.5,3,2021-02-27
Kings,32,PM2.5,2,2021-02-28
Kings,19,PM2.5,2,2021-03-01
Kings,25,PM2.5,3,2021-03-02
Kings,33,PM2.5,2,2021-03-03
Kings,27,PM2.5,2,2021-03-04
Kings,15,PM2.5,3,2021-03-05
Kings,18,PM2.5,2,2021-03-06
Kings,16,PM2.5,2,2021-03-07
Kings,24,PM2.5,3,2021-03-08
Kings,38,PM2.5,2,2021-03-09
Kings,38,PM2.5,2,2021-03-10
Kings,68,PM2.5,3,2021-03-11
Kings,33,PM2.5,2,2021-03-12
Kings,17,PM2.5,2,2021-03-13
Kings,21,PM2.5,3,2021-03-14
Kings,19,PM2.5,2,2021-03-15
Kings,22,PM2.5,2,2021-03-16
Kings,30,PM2.5,3,2021-03-17
Kings,12,PM2.5,2,2021-03-18
Kings,22,PM2.5,2,2021-03-19
Kings,29,PM2.5,3,2021-03-20
Kings,41,PM2.5,2,2021-03-21
Kings,35,PM2.5,2,2021-03-22
Kings,28,PM2.5,3,2021-03-23
Kings,24,PM2.5,2,2021-03-24
Kings,26,PM2.5,2,2021-03-25
Kings,19,PM2.5,3,2021-03-26
Kings,21,PM2.5,2,2021-03-27
Kings,14,PM2.5,2,2021-03-28
Kings,25,PM2.5,3,2021-03-29
Kings,24,PM2.5,2,2021-03-30
Kings,21,PM2.5,2,2021-03-31
Monroe,35,PM2.5,2,2021-01-01
Monroe,32,PM2.5,2,2021-01-02
Monroe,37,PM2.5,2,2021-01-03
Monroe,40,PM2.5,2,2021-01-04
Monroe,52,PM2.5,2,2021-01-05
Monroe,30,Ozone,2,2021-01-06
Monroe,30,Ozone,2,2021-01-07
Monroe,27,Ozone,2,2021-01-08
Monroe,31,Ozone,2,2021-01-09
Monroe,45,PM2.5,2,2021-01-10
Monroe,56,PM2.5,2,2021-01-11
Monroe,62,PM2.5,2,2021-01-12
Monroe,58,PM2.5,2,2021-01-13
Monroe,78,PM2.5,2,2021-01-14
Monroe,70,PM2.5,2,2021-01-15
Monroe,43,PM2.5,2,2021-01-16
Monroe,37,PM2.5,2,2021-01-17
Monroe,31,PM2.5,2,2021-01-18
Monroe,34,PM2.5,2,2021-01-19
Monroe,30,Ozone,2,2021-01-20
Monroe,38,PM2.5,2,2021-01-21
Monroe,33,PM2.5,2,2021-01-22
Monroe,34,Ozone,2,2021-01-23
Monroe,38,PM2.5,2,2021-01-24
Monroe,46,PM2.5,2,2021-01-25
Monroe,35,PM2.5,2,2021-01-26
Monroe,35,PM2.5,2,2021-01-27
Monroe,32,Ozone,2,2021-01-28
Monroe,19,PM2.5,2,2021-01-29
Monroe,43,PM2.5,2,2021-01-30
Monroe,48,PM2.5,2,2021-01-31
Monroe,34,PM2.5,2,2021-02-01
Monroe,35,Ozone,2,2021-02-02
Monroe,34,Ozone,2,2021-02-03
Monroe,37,Ozone,2,2021-02-04
Monroe,37,Ozone,2,2021-02-05
Monroe,47,PM2.5,2,2021-02-06
Monroe,37,PM2.5,2,2021-02-07
Monroe,39,PM2.5,2,2021-02-08
Monroe,54,PM2.5,2,2021-02-09
Monroe,48,PM2.5,2,2021-02-10
Monroe,44,PM2.5,2,2021-02-11
Monroe,34,PM2.5,2,2021-02-12
Monroe,34,Ozone,2,2021-02-13
Monroe,48,PM2.5,2,2021-02-14
Monroe,53,PM2.5,2,2021-02-15
Monroe,31,Ozone,2,2021-02-16
Monroe,33,PM2.5,2,2021-02-17
Monroe,46,PM2.5,2,2021-02-18
Monroe,52,PM2.5,2,2021-02-19
Monroe,52,PM2.5,2,2021-02-20
Monroe,55,PM2.5,2,2021-02-21
Monroe,48,PM2.5,2,2021-02-22
Monroe,54,PM2.5,2,2021-02-23
Monroe,49,Ozone,2,2021-02-24
Monroe,36,Ozone,2,2021-02-25
Monroe,39,Ozone,2,2021-02-26
Monroe,38,Ozone,2,2021-02-27
Monroe,44,PM2.5,2,2021-02-28
Monroe,36,Ozone,2,2021-03-01
Monroe,35,Ozone,2,2021-03-02
Monroe,49,PM2.5,2,2021-03-03
Monroe,37,Ozone,2,2021-03-04
Monroe,39,Ozone,2,2021-03-05
Monroe,34,Ozone,2,2021-03-06
Monroe,37,Ozone,2,2021-03-07
Monroe,38,Ozone,2,2021-03-08
Monroe,51,PM2.5,2,2021-03-09
Monroe,55,PM2.5,2,2021-03-10
Monroe,58,PM2.5,2,2021-03-11
Monroe,39,Ozone,1,2021-03-12
Monroe,38,Ozone,1,2021-03-13
Monroe,40,Ozone,2,2021-03-14
Monroe,38,Ozone,2,2021-03-15
Monroe,35,PM2.5,2,2021-03-16
Monroe,60,PM2.5,2,2021-03-17
Monroe,53,PM2.5,2,2021-03-18
Monroe,38,Ozone,2,2021-03-19
Monroe,42,Ozone,2,2021-03-20
Monroe,43,Ozone,2,2021-03-21
Monroe,49,Ozone,2,2021-03-22
Monroe,49,Ozone,2,2021-03-23
Monroe,33,Ozone,2,2021-03-24
Monroe,44,Ozone,2,2021-03-25
Monroe,27,Ozone,2,2021-03-26
Monroe,28,Ozone,2,2021-03-27
Monroe,34,Ozone,2,2021-03-28
Monroe,37,Ozone,2,2021-03-29
Monroe,46,Ozone,2,2021-03-30
Monroe,43,Ozone,2,2021-03-31
Nassau,35,PM2.5,1,2021-01-01
Nassau,34,PM2.5,1,2021-01-02
Nassau,35,PM2.5,1,2021-01-03
Nassau,30,PM2.5,1,2021-01-04
Nassau,28,PM2.5,1,2021-01-05
Nassau,34,PM2.5,1,2021-01-06
Nassau,27,PM2.5,1,2021-01-07
Nassau,27,PM2.5,1,2021-01-08
Nassau,29,PM2.5,1,2021-01-09
Nassau,42,PM2.5,1,2021-01-10
Nassau,58,PM2.5,1,2021-01-11
Nassau,64,PM2.5,1,2021-01-12
Nassau,62,PM2.5,1,2021-01-13
Nassau,61,PM2.5,1,2021-01-14
Nassau,51,PM2.5,1,2021-01-15
Nassau,21,PM2.5,1,2021-01-16
Nassau,35,PM2.5,1,2021-01-17
Nassau,35,PM2.5,1,2021-01-18
Nassau,38,PM2.5,1,2021-01-19
Nassau,33,PM2.5,1,2021-01-20
Nassau,41,PM2.5,1,2021-01-21
Nassau,40,PM2.5,1,2021-01-22
Nassau,26,PM2.5,1,2021-01-23
Nassau,22,PM2.5,1,2021-01-24
Nassau,26,PM2.5,1,2021-01-25
Nassau,25,PM2.5,1,2021-01-26
Nassau,34,PM2.5,1,2021-01-27
Nassau,26,PM2.5,1,2021-01-28
Nassau,22,PM2.5,1,2021-01-29
Nassau,26,PM2.5,1,2021-01-30
Nassau,18,PM2.5,1,2021-02-01
Nassau,16,PM2.5,1,2021-02-02
Nassau,20,PM2.5,1,2021-02-03
Nassau,19,PM2.5,1,2021-02-04
Nassau,40,PM2.5,1,2021-02-06
Nassau,42,PM2.5,1,2021-02-07
Nassau,34,PM2.5,1,2021-02-08
Nassau,40,PM2.5,1,2021-02-09
Nassau,45,PM2.5,1,2021-02-10
Nassau,33,PM2.5,1,2021-02-11
Nassau,25,PM2.5,1,2021-02-12
Nassau,23,PM2.5,1,2021-02-13
Nassau,34,PM2.5,1,2021-02-14
Nassau,30,PM2.5,1,2021-02-15
Nassau,19,PM2.5,1,2021-02-16
Nassau,31,PM2.5,1,2021-02-17
Nassau,19,PM2.5,1,2021-02-18
Nassau,23,PM2.5,1,2021-02-19
Nassau,38,PM2.5,1,2021-02-20
Nassau,35,PM2.5,1,2021-02-21
Nassau,24,PM2.5,1,2021-02-22
Nassau,42,PM2.5,1,2021-02-23
Nassau,30,PM2.5,1,2021-02-24
Nassau,30,PM2.5,1,2021-02-25
Nassau,24,PM2.5,1,2021-02-26
Nassau,21,PM2.5,1,2021-02-27
Nassau,23,PM2.5,1,2021-02-28
Nassau,19,PM2.5,1,2021-03-01
Nassau,18,PM2.5,1,2021-03-02
Nassau,25,PM2.5,1,2021-03-03
Nassau,16,PM2.5,1,2021-03-04
Nassau,10,PM2.5,1,2021-03-05
Nassau,18,PM2.5,1,2021-03-06
Nassau,17,PM2.5,1,2021-03-07
Nassau,20,PM2.5,1,2021-03-08
Nassau,42,PM2.5,1,2021-03-09
Nassau,29,PM2.5,1,2021-03-10
Nassau,59,PM2.5,1,2021-03-11
Nassau,32,PM2.5,1,2021-03-12
Nassau,17,PM2.5,1,2021-03-13
Nassau,20,PM2.5,1,2021-03-14
Nassau,18,PM2.5,1,2021-03-15
Nassau,16,PM2.5,1,2021-03-16
Nassau,19,PM2.5,1,2021-03-17
Nassau,8,PM2.5,1,2021-03-18
Nassau,22,PM2.5,1,2021-03-19
Nassau,24,PM2.5,1,2021-03-20
Nassau,34,PM2.5,1,2021-03-21
Nassau,29,PM2.5,1,2021-03-22
Nassau,17,PM2.5,1,2021-03-23
Nassau,15,PM2.5,1,2021-03-24
Nassau,14,PM2.5,1,2021-03-25
Nassau,18,PM2.5,1,2021-03-26
Nassau,20,PM2.5,1,2021-03-27
Nassau,11,PM2.5,1,2021-03-28
Nassau,20,PM2.5,1,2021-03-29
Nassau,22,PM2.5,1,2021-03-30
Nassau,15,PM2.5,1,2021-03-31
New York,39,PM2.5,3,2021-01-01
New York,39,PM2.5,2,2021-01-02
New York,40,PM2.5,2,2021-01-03
New York,37,PM2.5,3,2021-01-04
New York,36,PM2.5,2,2021-01-05
New York,47,PM2.5,2,2021-01-06
New York,38,PM2.5,3,2021-01-07
New York,33,PM2.5,2,2021-01-08
New York,33,PM2.5,2,2021-01-09
New York,40,PM2.5,3,2021-01-10
New York,53,PM2.5,2,2021-01-11
New York,65,PM2.5,2,2021-01-12
New York,69,PM2.5,3,2021-01-13
New York,64,PM2.5,2,2021-01-14
New York,56,PM2.5,2,2021-01-15
New York,27,PM2.5,3,2021-01-16
New York,38,PM2.5,2,2021-01-17
New York,42,PM2.5,2,2021-01-18
New York,42,PM2.5,3,2021-01-19
New York,40,PM2.5,2,2021-01-20
New York,40,PM2.5,2,2021-01-21
New York,44,PM2.5,3,2021-01-22
New York,29,PM2.5,2,2021-01-23
New York,31,Ozone,2,2021-01-24
New York,38,PM2.5,3,2021-01-25
New York,30,PM2.5,2,2021-01-26
New York,45,PM2.5,2,2021-01-27
New York,32,PM2.5,3,2021-01-28
New York,32,Ozone,2,2021-01-29
New York,36,PM2.5,2,2021-01-30
New York,31,PM2.5,3,2021-01-31
New York,28,Ozone,2,2021-02-01
New York,25,Ozone,2,2021-02-02
New York,30,PM2.5,3,2021-02-03
New York,57,PM2.5,2,2021-02-04
New York,48,PM2.5,2,2021-02-05
New York,38,PM2.5,3,2021-02-06
New York,42,PM2.5,2,2021-02-07
New York,42,PM2.5,2,2021-02-08
New York,53,PM2.5,3,2021-02-09
New York,44,PM2.5,2,2021-02-10
New York,35,PM2.5,2,2021-02-11
New York,29,Ozone,2,2021-02-12
New York,30,PM2.5,2,2021-02-13
New York,38,PM2.5,2,2021-02-14
New York,50,PM2.5,3,2021-02-15
New York,30,PM2.5,2,2021-02-16
New York,32,PM2.5,2,2021-02-17
New York,26,PM2.5,3,2021-02-18
New York,27,PM2.5,2,2021-02-19
New York,42,PM2.5,2,2021-02-20
New York,43,PM2.5,2,2021-02-21
New York,37,PM2.5,2,2021-02-22
New York,47,PM2.5,2,2021-02-23
New York,37,PM2.5,3,2021-02-24
New York,37,PM2.5,2,2021-02-25
New York,31,Ozone,2,2021-02-26
New York,25,PM2.5,3,2021-02-27
New York,29,PM2.5,2,2021-02-28
New York,35,Ozone,2,2021-03-01
New York,36,Ozone,3,2021-03-02
New York,31,Ozone,2,2021-03-03
New York,34,Ozone,2,2021-03-04
New York,36,Ozone,3,2021-03-05
New York,32,Ozone,2,2021-03-06
New York,34,Ozone,2,2021-03-07
New York,38,Ozone,2,2021-03-08
New York,40,PM2.5,2,2021-03-09
New York,38,PM2.5,2,2021-03-10
New York,68,PM2.5,2,2021-03-11
New York,42,Ozone,2,2021-03-12
New York,36,Ozone,2,2021-03-13
New York,38,Ozone,2,2021-03-14
New York,35,Ozone,2,2021-03-15
New York,24,Ozone,2,2021-03-16
New York,38,PM2.5,3,2021-03-17
New York,29,Ozone,2,2021-03-18
New York,34,Ozone,2,2021-03-19
New York,34,Ozone,3,2021-03-20
New York,36,Ozone,2,2021-03-21
New York,42,PM2.5,2,2021-03-22
New York,31,Ozone,2,2021-03-23
New York,25,PM2.5,2,2021-03-24
New York,27,PM2.5,2,2021-03-25
New York,65,PM2.5,3,2021-03-26
New York,43,Ozone,2,2021-03-27
New York,32,Ozone,2,2021-03-28
New York,36,Ozone,3,2021-03-29
New York,41,Ozone,2,2021-03-30
New York,30,Ozone,2,2021-03-31
Niagara,27,Ozone,1,2021-01-01
Niagara,26,Ozone,1,2021-01-02
Niagara,26,Ozone,1,2021-01-03
Niagara,22,Ozone,1,2021-01-04
Niagara,20,Ozone,1,2021-01-05
Niagara,31,Ozone,1,2021-01-06
Niagara,31,Ozone,1,2021-01-07
Niagara,29,Ozone,1,2021-01-08
Niagara,32,Ozone,1,2021-01-09
Niagara,28,Ozone,1,2021-01-10
Niagara,26,Ozone,1,2021-01-11
Niagara,25,Ozone,1,2021-01-12
Niagara,20,Ozone,1,2021-01-13
Niagara,17,Ozone,1,2021-01-14
Niagara,21,Ozone,1,2021-01-15
Niagara,26,Ozone,1,2021-01-16
Niagara,23,Ozone,1,2021-01-17
Niagara,28,Ozone,1,2021-01-18
Niagara,28,Ozone,1,2021-01-19
Niagara,31,Ozone,1,2021-01-20
Niagara,29,Ozone,1,2021-01-21
Niagara,31,Ozone,1,2021-01-22
Niagara,35,Ozone,1,2021-01-23
Niagara,37,Ozone,1,2021-01-24
Niagara,34,Ozone,1,2021-01-25
Niagara,31,Ozone,1,2021-01-26
Niagara,33,Ozone,1,2021-01-27
Niagara,36,Ozone,1,2021-01-28
Niagara,36,Ozone,1,2021-01-29
Niagara,34,Ozone,1,2021-01-30
Niagara,39,Ozone,1,2021-01-31
Niagara,37,Ozone,1,2021-02-01
Niagara,35,Ozone,1,2021-02-02
Niagara,38,Ozone,1,2021-02-03
Niagara,40,Ozone,1,2021-02-04
Niagara,37,Ozone,1,2021-02-05
Niagara,36,Ozone,1,2021-02-06
Niagara,37,Ozone,1,2021-02-07
Niagara,33,Ozone,1,2021-02-08
Niagara,35,Ozone,1,2021-02-09
Niagara,38,Ozone,1,2021-02-10
Niagara,36,Ozone,1,2021-02-11
Niagara,34,Ozone,1,2021-02-12
Niagara,36,Ozone,1,2021-02-13
Niagara,34,Ozone,1,2021-02-14
Niagara,38,Ozone,1,2021-02-15
Niagara,36,Ozone,1,2021-02-16
Niagara,38,Ozone,1,2021-02-18
Niagara,38,Ozone,1,2021-02-19
Niagara,42,Ozone,1,2021-02-20
Niagara,54,Ozone,1,2021-02-21
Niagara,47,Ozone,1,2021-02-22
Niagara,44,Ozone,1,2021-02-23
Niagara,61,Ozone,1,2021-02-24
Niagara,37,Ozone,1,2021-02-25
Niagara,40,Ozone,1,2021-02-26
Niagara,36,Ozone,1,2021-02-27
Niagara,36,Ozone,1,2021-02-28
Niagara,37,Ozone,1,2021-03-01
Niagara,37,Ozone,1,2021-03-02
Niagara,33,Ozone,1,2021-03-03
Niagara,37,Ozone,1,2021-03-04
Niagara,39,Ozone,1,2021-03-05
Niagara,35,Ozone,1,2021-03-06
Niagara,38,Ozone,1,2021-03-07
Niagara,43,Ozone,1,2021-03-08
Niagara,33,Ozone,1,2021-03-09
Niagara,61,Ozone,1,2021-03-10
Niagara,48,Ozone,1,2021-03-11
Niagara,37,Ozone,1,2021-03-12
Niagara,39,Ozone,1,2021-03-13
Niagara,39,Ozone,1,2021-03-14
Niagara,37,Ozone,1,2021-03-15
Niagara,31,Ozone,1,2021-03-16
Niagara,34,Ozone,1,2021-03-17
Niagara,36,Ozone,1,2021-03-18
Niagara,38,Ozone,1,2021-03-19
Niagara,42,Ozone,1,2021-03-20
Niagara,44,Ozone,1,2021-03-21
Niagara,51,Ozone,1,2021-03-22
Niagara,47,Ozone,1,2021-03-23
Niagara,34,Ozone,1,2021-03-24
Niagara,41,Ozone,1,2021-03-25
Niagara,26,Ozone,1,2021-03-26
Niagara,24,Ozone,1,2021-03-27
Niagara,29,Ozone,1,2021-03-28
Niagara,33,Ozone,1,2021-03-29
Niagara,44,Ozone,1,2021-03-30
Niagara,39,Ozone,1,2021-03-31
Oneida,27,PM2.5,1,2021-01-01
Oneida,34,PM2.5,1,2021-01-02
Oneida,35,PM2.5,1,2021-01-03
Oneida,42,PM2.5,1,2021-01-04
Oneida,37,PM2.5,1,2021-01-05
Oneida,31,PM2.5,1,2021-01-06
Oneida,25,PM2.5,1,2021-01-07
Oneida,28,PM2.5,1,2021-01-08
Oneida,33,PM2.5,1,2021-01-09
Oneida,37,PM2.5,1,2021-01-10
Oneida,43,PM2.5,1,2021-01-11
Oneida,39,PM2.5,1,2021-01-12
Oneida,58,PM2.5,1,2021-01-15
Oneida,22,PM2.5,1,2021-01-16
Oneida,32,PM2.5,1,2021-01-17
Oneida,25,PM2.5,1,2021-01-18
Oneida,29,PM2.5,1,2021-01-19
Oneida,24,PM2.5,1,2021-01-20
Oneida,32,PM2.5,1,2021-01-21
Oneida,28,PM2.5,1,2021-01-22
Oneida,26,PM2.5,1,2021-01-23
Oneida,20,PM2.5,1,2021-01-24
Oneida,44,PM2.5,1,2021-01-25
Oneida,33,PM2.5,1,2021-01-26
Oneida,35,PM2.5,1,2021-01-27
Oneida,22,PM2.5,1,2021-01-28
Oneida,20,PM2.5,1,2021-01-29
Oneida,19,PM2.5,1,2021-01-30
Oneida,27,PM2.5,1,2021-01-31
Oneida,30,PM2.5,1,2021-02-01
Oneida,26,PM2.5,1,2021-02-02
Oneida,21,PM2.5,1,2021-02-03
Oneida,28,PM2.5,1,2021-02-04
Oneida,28,PM2.5,1,2021-02-07
Oneida,31,PM2.5,1,2021-02-08
Oneida,35,PM2.5,1,2021-02-09
Oneida,37,PM2.5,1,2021-02-10
Oneida,38,PM2.5,1,2021-02-11
Oneida,35,PM2.5,1,2021-02-12
Oneida,30,PM2.5,1,2021-02-13
Oneida,27,PM2.5,1,2021-02-14
Oneida,29,PM2.5,1,2021-02-15
Oneida,26,PM2.5,1,2021-02-16
Oneida,31,PM2.5,1,2021-02-17
Oneida,28,PM2.5,1,2021-02-18
Oneida,23,PM2.5,1,2021-02-19
Oneida,32,PM2.5,1,2021-02-20
Oneida,32,PM2.5,1,2021-02-21
Oneida,25,PM2.5,1,2021-02-22
Oneida,41,PM2.5,1,2021-02-23
Oneida,22,PM2.5,1,2021-02-24
Oneida,25,PM2.5,1,2021-02-26
Oneida,27,PM2.5,1,2021-02-27
Oneida,30,PM2.5,1,2021-02-28
Oneida,14,PM2.5,1,2021-03-02
Oneida,33,PM2.5,1,2021-03-03
Oneida,16,PM2.5,1,2021-03-04
Oneida,13,PM2.5,1,2021-03-05
Oneida,18,PM2.5,1,2021-03-06
Oneida,21,PM2.5,1,2021-03-07
Oneida,29,PM2.5,1,2021-03-08
Oneida,49,PM2.5,1,2021-03-09
Oneida,31,PM2.5,1,2021-03-10
Oneida,55,PM2.5,1,2021-03-11
Oneida,8,PM2.5,1,2021-03-12
Oneida,0,PM2.5,1,2021-03-13
Oneida,8,PM2.5,1,2021-03-14
Oneida,3,PM2.5,1,2021-03-15
Oneida,10,PM2.5,1,2021-03-16
Oneida,25,PM2.5,1,2021-03-17
Oneida,21,PM2.5,1,2021-03-18
Oneida,11,PM2.5,1,2021-03-19
Oneida,16,PM2.5,1,2021-03-20
Oneida,22,PM2.5,1,2021-03-21
Oneida,22,PM2.5,1,2021-03-22
Oneida,24,PM2.5,1,2021-03-23
Oneida,10,PM2.5,1,2021-03-24
Oneida,13,PM2.5,1,2021-03-25
Oneida,8,PM2.5,1,2021-03-26
Oneida,1,PM2.5,1,2021-03-27
Oneida,0,PM2.5,1,2021-03-28
Oneida,7,PM2.5,1,2021-03-29
Oneida,7,PM2.5,1,2021-03-30
Oneida,11,PM2.5,1,2021-03-31
Onondaga,30,Ozone,1,2021-01-01
Onondaga,24,Ozone,1,2021-01-02
Onondaga,31,PM2.5,1,2021-01-03
Onondaga,40,PM2.5,1,2021-01-04
Onondaga,43,PM2.5,1,2021-01-05
Onondaga,29,Ozone,1,2021-01-06
Onondaga,29,Ozone,1,2021-01-07
Onondaga,26,Ozone,1,2021-01-08
Onondaga,32,Ozone,1,2021-01-09
Onondaga,28,PM2.5,1,2021-01-10
Onondaga,53,PM2.5,1,2021-01-11
Onondaga,56,PM2.5,1,2021-01-12
Onondaga,55,PM2.5,1,2021-01-13
Onondaga,63,PM2.5,1,2021-01-14
Onondaga,64,PM2.5,1,2021-01-15
Onondaga,45,PM2.5,1,2021-01-16
Onondaga,36,PM2.5,1,2021-01-17
Onondaga,19,PM2.5,1,2021-01-18
Onondaga,30,PM2.5,1,2021-01-19
Onondaga,32,Ozone,1,2021-01-20
Onondaga,31,PM2.5,1,2021-01-21
Onondaga,29,Ozone,1,2021-01-22
Onondaga,31,Ozone,1,2021-01-23
Onondaga,33,Ozone,1,2021-01-24
Onondaga,31,Ozone,1,2021-01-25
Onondaga,36,PM2.5,1,2021-01-26
Onondaga,31,Ozone,1,2021-01-27
Onondaga,32,Ozone,1,2021-01-28
Onondaga,31,Ozone,1,2021-01-29
Onondaga,32,Ozone,1,2021-01-30
Onondaga,31,Ozone,1,2021-01-31
Onondaga,34,Ozone,1,2021-02-01
Onondaga,38,PM2.5,1,2021-02-02
Onondaga,35,Ozone,1,2021-02-03
Onondaga,35,Ozone,1,2021-02-04
Onondaga,37,Ozone,1,2021-02-05
Onondaga,37,Ozone,1,2021-02-06
Onondaga,35,Ozone,1,2021-02-07
Onondaga,36,Ozone,1,2021-02-08
Onondaga,52,PM2.5,1,2021-02-09
Onondaga,41,PM2.5,1,2021-02-10
Onondaga,38,PM2.5,1,2021-02-11
Onondaga,33,PM2.5,1,2021-02-12
Onondaga,35,Ozone,1,2021-02-13
Onondaga,36,PM2.5,1,2021-02-14
Onondaga,44,PM2.5,1,2021-02-15
Onondaga,32,PM2.5,1,2021-02-16
Onondaga,33,Ozone,1,2021-02-17
Onondaga,34,Ozone,1,2021-02-18
Onondaga,41,PM2.5,1,2021-02-19
Onondaga,39,Ozone,1,2021-02-20
Onondaga,41,Ozone,1,2021-02-21
Onondaga,44,Ozone,1,2021-02-22
Onondaga,46,PM2.5,1,2021-02-23
Onondaga,49,Ozone,1,2021-02-24
Onondaga,37,Ozone,1,2021-02-25
Onondaga,40,Ozone,1,2021-02-26
Onondaga,42,Ozone,1,2021-02-27
Onondaga,39,Ozone,1,2021-02-28
Onondaga,38,Ozone,1,2021-03-01
Onondaga,38,Ozone,1,2021-03-02
Onondaga,48,PM2.5,1,2021-03-03
Onondaga,37,Ozone,1,2021-03-04
Onondaga,40,Ozone,1,2021-03-05
Onondaga,34,Ozone,1,2021-03-06
Onondaga,38,Ozone,1,2021-03-07
Onondaga,39,Ozone,1,2021-03-08
Onondaga,49,PM2.5,1,2021-03-09
Onondaga,54,Ozone,1,2021-03-10
Onondaga,57,PM2.5,1,2021-03-11
Onondaga,41,Ozone,1,2021-03-12
Onondaga,38,Ozone,1,2021-03-13
Onondaga,39,Ozone,1,2021-03-14
Onondaga,38,Ozone,1,2021-03-15
Onondaga,36,Ozone,1,2021-03-16
Onondaga,49,PM2.5,1,2021-03-17
Onondaga,54,PM2.5,1,2021-03-18
