county,aqi,pollutant,number_of_sites_reporting,date
Bronx,54,PM2.5,4,2021-02-21
Bronx,54,PM2.5,4,2021-02-22
Bronx,59,PM2.5,4,2021-02-23
Bronx,41,PM2.5,4,2021-02-24
Bronx,37,Ozone,4,2021-02-25
Bronx,34,Ozone,4,2021-02-26
Bronx,46,PM2.5,4,2021-02-28
Bronx,36,Ozone,4,2021-03-02
Bronx,46,PM2.5,4,2021-03-03
Bronx,40,PM2.5,4,2021-03-04
Bronx,37,Ozone,4,2021-03-05
Bronx,35,Ozone,4,2021-03-06
Bronx,37,Ozone,4,2021-03-07
Bronx,48,PM2.5,4,2021-03-09
Bronx,43,PM2.5,4,2021-03-10
Bronx,83,PM2.5,4,2021-03-11
Bronx,42,Ozone,4,2021-03-12
Bronx,38,Ozone,4,2021-03-13
Bronx,40,Ozone,4,2021-03-14
Bronx,37,Ozone,4,2021-03-15
Bronx,30,Ozone,4,2021-03-16
Bronx,43,PM2.5,4,2021-03-17
Bronx,35,Ozone,4,2021-03-19
Bronx,52,PM2.5,4,2021-03-21
Bronx,56,PM2.5,4,2021-03-22
Bronx,36,Ozone,4,2021-03-23
Bronx,38,PM2.5,4,2021-03-24
Bronx,53,PM2.5,4,2021-03-25
Bronx,42,Ozone,4,2021-03-26
Bronx,43,Ozone,4,2021-03-27
Bronx,32,Ozone,4,2021-03-28
Bronx,37,Ozone,4,2021-03-29
Bronx,44,Ozone,4,2021-03-30
Bronx,41,PM2.5,4,2021-03-31
Chautauqua,26,Ozone,1,2021-01-01
Chautauqua,27,Ozone,1,2021-01-02
Chautauqua,25,Ozone,1,2021-01-03
Chautauqua,50,PM2.5,1,2021-01-04
Chautauqua,24,Ozone,1,2021-01-05
Chautauqua,31,Ozone,1,2021-01-06
Chautauqua,29,Ozone,1,2021-01-07
Chautauqua,26,Ozone,1,2021-01-08
Chautauqua,33,Ozone,1,2021-01-09
Chautauqua,35,Ozone,1,2021-01-10
Chautauqua,25,Ozone,1,2021-01-11
Chautauqua,24,Ozone,1,2021-01-12
Chautauqua,60,PM2.5,1,2021-01-13
Chautauqua,23,Ozone,1,2021-01-14
Chautauqua,28,Ozone,1,2021-01-15
Chautauqua,29,Ozone,1,2021-01-16
Chautauqua,25,Ozone,1,2021-01-17
Chautauqua,28,Ozone,1,2021-01-18
Chautauqua,31,Ozone,1,2021-01-19
Chautauqua,33,Ozone,1,2021-01-20
Chautauqua,32,Ozone,1,2021-01-21
Chautauqua,32,Ozone,1,2021-01-22
Chautauqua,37,Ozone,1,2021-01-23
Chautauqua,36,Ozone,1,2021-01-24
Chautauqua,33,Ozone,1,2021-01-25
Chautauqua,32,Ozone,1,2021-01-26
Chautauqua,34,Ozone,1,2021-01-27
Chautauqua,37,Ozone,1,2021-01-28
Chautauqua,39,Ozone,1,2021-01-29
Chautauqua,39,Ozone,1,2021-01-30
Chautauqua,35,Ozone,1,2021-01-31
Chautauqua,34,Ozone,1,2021-02-01
Chautauqua,34,Ozone,1,2021-02-02
Chautauqua,39,Ozone,1,2021-02-03
Chautauqua,38,Ozone,1,2021-02-04
Chautauqua,33,Ozone,1,2021-02-05
Chautauqua,34,Ozone,1,2021-02-06
Chautauqua,37,Ozone,1,2021-02-07
Chautauqua,34,Ozone,1,2021-02-08
