county,deaths,date
Jefferson,63,2021-02-24
Kings,6391,2021-02-24
Lewis,30,2021-02-24
Livingston,55,2021-02-24
Madison,84,2021-02-24
Manhattan,2629,2021-02-24
Monroe,980,2021-02-24
Montgomery,105,2021-02-24
Nassau,2896,2021-02-24
Niagara,313,2021-02-24
Non-NYS,191,2021-02-24
Oneida,475,2021-02-24
Onondaga,622,2021-02-24
Ontario,88,2021-02-24
Orange,635,2021-02-24
Orleans,80,2021-02-24
Oswego,89,2021-02-24
Otsego,43,2021-02-24
Putnam,86,2021-02-24
Queens,6204,2021-02-24
Rensselaer,131,2021-02-24
Richmond,1041,2021-02-24
Rockland,688,2021-02-24
Saratoga,145,2021-02-24
Schenectady,177,2021-02-24
Schoharie,12,2021-02-24
Schuyler,12,2021-02-24
Seneca,53,2021-02-24
St. Lawrence,81,2021-02-24
Statewide Total,38227,2021-02-24
Steuben,137,2021-02-24
Suffolk,3054,2021-02-24
Sullivan,59,2021-02-24
Tioga,56,2021-02-24
Tompkins,42,2021-02-24
Ulster,227,2021-02-24
Warren,55,2021-02-24
Washington,52,2021-02-24
Wayne,64,2021-02-24
Westchester,2081,2021-02-24
Wyoming,49,2021-02-24
Yates,26,2021-02-24
Albany,331,2021-02-25
Allegany,81,2021-02-25
Bronx,4083,2021-02-25
Broome,336,2021-02-25
Cattaraugus,76,2021-02-25
Cayuga,88,2021-02-25
Chautauqua,122,2021-02-25
Chemung,130,2021-02-25
Chenango,69,2021-02-25
Clinton,26,2021-02-25
Columbia,94,2021-02-25
Cortland,60,2021-02-25
Delaware,33,2021-02-25
Dutchess,407,2021-02-25
Erie,1596,2021-02-25
Essex,26,2021-02-25
Franklin,12,2021-02-25
Fulton,82,2021-02-25
Genesee,118,2021-02-25
Greene,70,2021-02-25
Hamilton,2,2021-02-25
Herkimer,106,2021-02-25
Jefferson,63,2021-02-25
Kings,6402,2021-02-25
Lewis,30,2021-02-25
Livingston,56,2021-02-25
Madison,85,2021-02-25
Manhattan,2644,2021-02-25
Monroe,982,2021-02-25
Montgomery,106,2021-02-25
Nassau,2903,2021-02-25
Niagara,311,2021-02-25
Non-NYS,192,2021-02-25
Oneida,475,2021-02-25
Onondaga,626,2021-02-25
Ontario,88,2021-02-25
Orange,637,2021-02-25
Orleans,81,2021-02-25
Oswego,89,2021-02-25
Otsego,43,2021-02-25
Putnam,86,2021-02-25
Queens,6217,2021-02-25
Rensselaer,131,2021-02-25
Richmond,1042,2021-02-25
Rockland,687,2021-02-25
Saratoga,145,2021-02-25
Schenectady,177,2021-02-25
Schoharie,12,2021-02-25
Schuyler,12,2021-02-25
Seneca,53,2021-02-25
St. Lawrence,83,2021-02-25
Statewide Total,38321,2021-02-25
Steuben,137,2021-02-25
Suffolk,3061,2021-02-25
Sullivan,59,2021-02-25
Tioga,56,2021-02-25
Tompkins,42,2021-02-25
Ulster,227,2021-02-25
Warren,55,2021-02-25
Washington,52,2021-02-25
Wayne,64,2021-02-25
Westchester,2087,2021-02-25
Wyoming,49,2021-02-25
Yates,26,2021-02-25
Albany,331,2021-02-26
Allegany,81,2021-02-26
Bronx,4093,2021-02-26
Broome,336,2021-02-26
Cattaraugus,76,2021-02-26
Cayuga,88,2021-02-26
Chautauqua,122,2021-02-26
Chemung,130,2021-02-26
Chenango,69,2021-02-26
Clinton,26,2021-02-26
Columbia,95,2021-02-26
Cortland,60,2021-02-26
Delaware,33,2021-02-26
Dutchess,408,2021-02-26
Erie,1598,2021-02-26
Essex,26,2021-02-26
Franklin,12,2021-02-26
Fulton,83,2021-02-26
Genesee,118,2021-02-26
Greene,71,2021-02-26
Hamilton,2,2021-02-26
Herkimer,107,2021-02-26
Jefferson,63,2021-02-26
Kings,6417,2021-02-26
Lewis,30,2021-02-26
Livingston,56,2021-02-26
Madison,85,2021-02-26
Manhattan,2653,2021-02-26
Monroe,986,2021-02-26
Montgomery,106,2021-02-26
Nassau,2907,2021-02-26
Niagara,311,2021-02-26
Non-NYS,192,2021-02-26
Oneida,475,2021-02-26
Onondaga,628,2021-02-26
Ontario,88,2021-02-26
Orange,638,2021-02-26
Orleans,81,2021-02-26
Oswego,89,2021-02-26
Otsego,43,2021-02-26
Putnam,86,2021-02-26
Queens,6235,2021-02-26
Rensselaer,131,2021-02-26
Richmond,1045,2021-02-26
Rockland,688,2021-02-26
Saratoga,145,2021-02-26
Schenectady,177,2021-02-26
Schoharie,12,2021-02-26
Schuyler,12,2021-02-26
Seneca,53,2021-02-26
St. Lawrence,84,2021-02-26
Statewide Total,38407,2021-02-26
Steuben,137,2021-02-26
Suffolk,3067,2021-02-26
Sullivan,59,2021-02-26
Tioga,56,2021-02-26
Tompkins,42,2021-02-26
Ulster,228,2021-02-26
Warren,55,2021-02-26
Washington,52,2021-02-26
Wayne,64,2021-02-26
Westchester,2091,2021-02-26
Wyoming,49,2021-02-26
Yates,26,2021-02-26
Albany,332,2021-02-27
Allegany,81,2021-02-27
Bronx,4098,2021-02-27
Broome,336,2021-02-27
Cattaraugus,76,2021-02-27
Cayuga,88,2021-02-27
Chautauqua,123,2021-02-27
Chemung,130,2021-02-27
Chenango,69,2021-02-27
Clinton,26,2021-02-27
Columbia,95,2021-02-27
Cortland,60,2021-02-27
Delaware,33,2021-02-27
Dutchess,408,2021-02-27
Erie,1601,2021-02-27
Essex,26,2021-02-27
Franklin,12,2021-02-27
Fulton,84,2021-02-27
Genesee,118,2021-02-27
Greene,71,2021-02-27
Hamilton,2,2021-02-27
Herkimer,107,2021-02-27
Jefferson,63,2021-02-27
Kings,6433,2021-02-27
Lewis,30,2021-02-27
Livingston,56,2021-02-27
Madison,85,2021-02-27
Manhattan,2668,2021-02-27
Monroe,989,2021-02-27
Montgomery,107,2021-02-27
Nassau,2914,2021-02-27
Niagara,312,2021-02-27
Non-NYS,192,2021-02-27
Oneida,476,2021-02-27
Onondaga,630,2021-02-27
Ontario,88,2021-02-27
Orange,638,2021-02-27
Orleans,81,2021-02-27
Oswego,89,2021-02-27
Otsego,43,2021-02-27
Putnam,86,2021-02-27
Queens,6249,2021-02-27
Rensselaer,131,2021-02-27
Richmond,1046,2021-02-27
Rockland,689,2021-02-27
Saratoga,145,2021-02-27
Schenectady,178,2021-02-27
Schoharie,12,2021-02-27
Schuyler,12,2021-02-27
Seneca,53,2021-02-27
St. Lawrence,85,2021-02-27
Statewide Total,38497,2021-02-27
Steuben,137,2021-02-27
Suffolk,3076,2021-02-27
Sullivan,59,2021-02-27
Tioga,56,2021-02-27
Tompkins,42,2021-02-27
Ulster,228,2021-02-27
Warren,55,2021-02-27
Washington,52,2021-02-27
Wayne,64,2021-02-27
Westchester,2097,2021-02-27
Wyoming,49,2021-02-27
Yates,26,2021-02-27
Albany,332,2021-02-28
Allegany,81,2021-02-28
Bronx,4105,2021-02-28
Broome,336,2021-02-28
Cattaraugus,76,2021-02-28
Cayuga,88,2021-02-28
Chautauqua,123,2021-02-28
Chemung,130,2021-02-28
Chenango,69,2021-02-28
Clinton,26,2021-02-28
Columbia,96,2021-02-28
Cortland,60,2021-02-28
Delaware,33,2021-02-28
Dutchess,408,2021-02-28
Erie,1603,2021-02-28
Essex,26,2021-02-28
Franklin,12,2021-02-28
Fulton,84,2021-02-28
Genesee,118,2021-02-28
Greene,71,2021-02-28
Hamilton,2,2021-02-28
Herkimer,107,2021-02-28
Jefferson,63,2021-02-28
Kings,6459,2021-02-28
Lewis,30,2021-02-28
Livingston,56,2021-02-28
Madison,85,2021-02-28
Manhattan,2675,2021-02-28
Monroe,991,2021-02-28
Montgomery,107,2021-02-28
Nassau,2918,2021-02-28
Niagara,312,2021-02-28
Non-NYS,192,2021-02-28
Oneida,478,2021-02-28
Onondaga,630,2021-02-28
Ontario,88,2021-02-28
Orange,640,2021-02-28
Orleans,81,2021-02-28
Oswego,89,2021-02-28
Otsego,43,2021-02-28
Putnam,86,2021-02-28
Queens,6261,2021-02-28
Rensselaer,132,2021-02-28
Richmond,1046,2021-02-28
Rockland,689,2021-02-28
Saratoga,145,2021-02-28
Schenectady,178,2021-02-28
Schoharie,12,2021-02-28
Schuyler,12,2021-02-28
Seneca,53,2021-02-28
St. Lawrence,85,2021-02-28
Statewide Total,38577,2021-02-28
Steuben,137,2021-02-28
Suffolk,3086,2021-02-28
Sullivan,59,2021-02-28
Tioga,56,2021-02-28
Tompkins,42,2021-02-28
Ulster,228,2021-02-28
Warren,55,2021-02-28
Washington,52,2021-02-28
Wayne,64,2021-02-28
Westchester,2101,2021-02-28
Wyoming,49,2021-02-28
Yates,26,2021-02-28
Albany,333,2021-03-01
Allegany,81,2021-03-01
Bronx,4115,2021-03-01
Broome,336,2021-03-01
Cattaraugus,76,2021-03-01
Cayuga,88,2021-03-01
Chautauqua,123,2021-03-01
Chemung,130,2021-03-01
Chenango,69,2021-03-01
Clinton,26,2021-03-01
Columbia,96,2021-03-01
Cortland,60,2021-03-01
Delaware,33,2021-03-01
Dutchess,408,2021-03-01
Erie,1607,2021-03-01
Essex,26,2021-03-01
Franklin,12,2021-03-01
Fulton,84,2021-03-01
Genesee,118,2021-03-01
Greene,71,2021-03-01
Hamilton,2,2021-03-01
Herkimer,107,2021-03-01
Jefferson,63,2021-03-01
Kings,6472,2021-03-01
Lewis,30,2021-03-01
Livingston,56,2021-03-01
Madison,85,2021-03-01
Manhattan,2679,2021-03-01
Monroe,992,2021-03-01
Montgomery,107,2021-03-01
Nassau,2926,2021-03-01
Niagara,312,2021-03-01
Non-NYS,192,2021-03-01
Oneida,478,2021-03-01
Onondaga,634,2021-03-01
Ontario,88,2021-03-01
Orange,641,2021-03-01
Orleans,81,2021-03-01
Oswego,89,2021-03-01
Otsego,43,2021-03-01
Putnam,86,2021-03-01
Queens,6283,2021-03-01
Rensselaer,132,2021-03-01
Richmond,1047,2021-03-01
Rockland,689,2021-03-01
Saratoga,145,2021-03-01
Schenectady,178,2021-03-01
Schoharie,12,2021-03-01
Schuyler,12,2021-03-01
Seneca,53,2021-03-01
St. Lawrence,86,2021-03-01
Statewide Total,38660,2021-03-01
Steuben,137,2021-03-01
Suffolk,3095,2021-03-01
Sullivan,59,2021-03-01
Tioga,56,2021-03-01
Tompkins,42,2021-03-01
Ulster,228,2021-03-01
Warren,55,2021-03-01
Washington,52,2021-03-01
Wayne,64,2021-03-01
Westchester,2105,2021-03-01
Wyoming,49,2021-03-01
Yates,26,2021-03-01
Albany,333,2021-03-02
Allegany,81,2021-03-02
Bronx,4120,2021-03-02
Broome,336,2021-03-02
Cattaraugus,76,2021-03-02
Cayuga,89,2021-03-02
Chautauqua,123,2021-03-02
Chemung,130,2021-03-02
Chenango,69,2021-03-02
Clinton,26,2021-03-02
Columbia,96,2021-03-02
Cortland,60,2021-03-02
Delaware,33,2021-03-02
Dutchess,408,2021-03-02
Erie,1609,2021-03-02
Essex,26,2021-03-02
Franklin,12,2021-03-02
Fulton,84,2021-03-02
Genesee,118,2021-03-02
Greene,71,2021-03-02
Hamilton,2,2021-03-02
Herkimer,107,2021-03-02
Jefferson,63,2021-03-02
Kings,6490,2021-03-02
Lewis,30,2021-03-02
Livingston,56,2021-03-02
Madison,85,2021-03-02
Manhattan,2684,2021-03-02
Monroe,992,2021-03-02
Montgomery,107,2021-03-02
Nassau,2930,2021-03-02
Niagara,312,2021-03-02
Non-NYS,192,2021-03-02
Oneida,480,2021-03-02
Onondaga,634,2021-03-02
Ontario,89,2021-03-02
Orange,643,2021-03-02
Orleans,81,2021-03-02
Oswego,89,2021-03-02
Otsego,43,2021-03-02
Putnam,86,2021-03-02
Queens,6300,2021-03-02
Rensselaer,132,2021-03-02
Richmond,1049,2021-03-02
Rockland,689,2021-03-02
Saratoga,145,2021-03-02
Schenectady,178,2021-03-02
Schoharie,13,2021-03-02
Schuyler,12,2021-03-02
Seneca,53,2021-03-02
St. Lawrence,88,2021-03-02
Statewide Total,38735,2021-03-02
Steuben,137,2021-03-02
Suffolk,3102,2021-03-02
Sullivan,60,2021-03-02
Tioga,56,2021-03-02
Tompkins,42,2021-03-02
Ulster,228,2021-03-02
Warren,55,2021-03-02
Washington,52,2021-03-02
Wayne,65,2021-03-02
Westchester,2109,2021-03-02
Wyoming,49,2021-03-02
Yates,26,2021-03-02
Albany,333,2021-03-03
Allegany,81,2021-03-03
Bronx,4127,2021-03-03
Broome,336,2021-03-03
Cattaraugus,76,2021-03-03
Cayuga,89,2021-03-03
Chautauqua,123,2021-03-03
Chemung,130,2021-03-03
Chenango,70,2021-03-03
Clinton,26,2021-03-03
Columbia,96,2021-03-03
Cortland,60,2021-03-03
Delaware,33,2021-03-03
Dutchess,410,2021-03-03
Erie,1610,2021-03-03
Essex,26,2021-03-03
Franklin,12,2021-03-03
Fulton,84,2021-03-03
Genesee,118,2021-03-03
Greene,71,2021-03-03
Hamilton,2,2021-03-03
Herkimer,107,2021-03-03
Jefferson,63,2021-03-03
Kings,6497,2021-03-03
Lewis,30,2021-03-03
Livingston,56,2021-03-03
Madison,85,2021-03-03
Manhattan,2690,2021-03-03
Monroe,993,2021-03-03
Montgomery,107,2021-03-03
Nassau,2935,2021-03-03
Niagara,312,2021-03-03
Non-NYS,193,2021-03-03
Oneida,480,2021-03-03
Onondaga,634,2021-03-03
Ontario,89,2021-03-03
Orange,645,2021-03-03
Orleans,81,2021-03-03
Oswego,89,2021-03-03
Otsego,43,2021-03-03
Putnam,86,2021-03-03
Queens,6314,2021-03-03
Rensselaer,132,2021-03-03
Richmond,1050,2021-03-03
Rockland,689,2021-03-03
Saratoga,145,2021-03-03
Schenectady,178,2021-03-03
Schoharie,13,2021-03-03
Schuyler,12,2021-03-03
Seneca,53,2021-03-03
St. Lawrence,89,2021-03-03
Statewide Total,38796,2021-03-03
Steuben,138,2021-03-03
Suffolk,3105,2021-03-03
Sullivan,60,2021-03-03
Tioga,56,2021-03-03
Tompkins,42,2021-03-03
Ulster,229,2021-03-03
Warren,55,2021-03-03
Washington,52,2021-03-03
Wayne,65,2021-03-03
Westchester,2116,2021-03-03
Wyoming,49,2021-03-03
Yates,26,2021-03-03
Albany,334,2021-03-04
Allegany,81,2021-03-04
Bronx,4143,2021-03-04
Broome,338,2021-03-04
Cattaraugus,77,2021-03-04
Cayuga,89,2021-03-04
Chautauqua,125,2021-03-04
Chemung,130,2021-03-04
Chenango,70,2021-03-04
Clinton,26,2021-03-04
Columbia,96,2021-03-04
Cortland,60,2021-03-04
Delaware,33,2021-03-04
Dutchess,413,2021-03-04
Erie,1613,2021-03-04
Essex,26,2021-03-04
Franklin,12,2021-03-04
Fulton,84,2021-03-04
Genesee,118,2021-03-04
Greene,71,2021-03-04
Hamilton,2,2021-03-04
Herkimer,107,2021-03-04
Jefferson,63,2021-03-04
Kings,6513,2021-03-04
Lewis,30,2021-03-04
Livingston,56,2021-03-04
Madison,85,2021-03-04
Manhattan,2694,2021-03-04
Monroe,994,2021-03-04
Montgomery,107,2021-03-04
Nassau,2943,2021-03-04
Niagara,314,2021-03-04
Non-NYS,194,2021-03-04
Oneida,481,2021-03-04
Onondaga,635,2021-03-04
Ontario,90,2021-03-04
Orange,646,2021-03-04
Orleans,81,2021-03-04
Oswego,89,2021-03-04
Otsego,43,2021-03-04
Putnam,86,2021-03-04
Queens,6325,2021-03-04
Rensselaer,132,2021-03-04
Richmond,1050,2021-03-04
Rockland,693,2021-03-04
Saratoga,146,2021-03-04
Schenectady,178,2021-03-04
Schoharie,13,2021-03-04
Schuyler,12,2021-03-04
Seneca,53,2021-03-04
St. Lawrence,90,2021-03-04
Statewide Total,38891,2021-03-04
Steuben,138,2021-03-04
Suffolk,3114,2021-03-04
Sullivan,60,2021-03-04
Tioga,56,2021-03-04
Tompkins,42,2021-03-04
Ulster,230,2021-03-04
Warren,55,2021-03-04
Washington,54,2021-03-04
Wayne,65,2021-03-04
Westchester,2118,2021-03-04
Wyoming,49,2021-03-04
Yates,26,2021-03-04
Albany,334,2021-03-05
Allegany,81,2021-03-05
Bronx,4153,2021-03-05
Broome,339,2021-03-05
Cattaraugus,77,2021-03-05
Cayuga,89,2021-03-05
Chautauqua,125,2021-03-05
Chemung,130,2021-03-05
Chenango,70,2021-03-05
Clinton,27,2021-03-05
Columbia,96,2021-03-05
Cortland,60,2021-03-05
Delaware,33,2021-03-05
Dutchess,413,2021-03-05
Erie,1616,2021-03-05
Essex,26,2021-03-05
Franklin,12,2021-03-05
Fulton,85,2021-03-05
Genesee,118,2021-03-05
Greene,71,2021-03-05
Hamilton,2,2021-03-05
Herkimer,107,2021-03-05
Jefferson,63,2021-03-05
Kings,6524,2021-03-05
Lewis,30,2021-03-05
Livingston,56,2021-03-05
Madison,85,2021-03-05
Manhattan,2705,2021-03-05
Monroe,997,2021-03-05
Montgomery,107,2021-03-05
Nassau,2951,2021-03-05
Niagara,315,2021-03-05
Non-NYS,194,2021-03-05
Oneida,481,2021-03-05
Onondaga,636,2021-03-05
Ontario,90,2021-03-05
Orange,646,2021-03-05
Orleans,82,2021-03-05
Oswego,89,2021-03-05
Otsego,43,2021-03-05
Putnam,86,2021-03-05
Queens,6337,2021-03-05
Rensselaer,132,2021-03-05
Richmond,1050,2021-03-05
Rockland,694,2021-03-05
Saratoga,148,2021-03-05
Schenectady,178,2021-03-05
Schoharie,13,2021-03-05
Schuyler,12,2021-03-05
Seneca,53,2021-03-05
St. Lawrence,90,2021-03-05
Statewide Total,38970,2021-03-05
Steuben,138,2021-03-05
Suffolk,3120,2021-03-05
Sullivan,60,2021-03-05
Tioga,56,2021-03-05
Tompkins,43,2021-03-05
Ulster,231,2021-03-05
Warren,55,2021-03-05
Washington,54,2021-03-05
Wayne,65,2021-03-05
Westchester,2122,2021-03-05
Wyoming,49,2021-03-05
Yates,26,2021-03-05
Albany,335,2021-03-06
Allegany,81,2021-03-06
Bronx,4157,2021-03-06
Broome,339,2021-03-06
Cattaraugus,77,2021-03-06
Cayuga,89,2021-03-06
Chautauqua,126,2021-03-06
Chemung,130,2021-03-06
Chenango,70,2021-03-06
Clinton,27,2021-03-06
Columbia,96,2021-03-06
Cortland,60,2021-03-06
Delaware,33,2021-03-06
Dutchess,413,2021-03-06
Erie,1618,2021-03-06
Essex,26,2021-03-06
Franklin,12,2021-03-06
Fulton,85,2021-03-06
Genesee,119,2021-03-06
Greene,71,2021-03-06
Hamilton,2,2021-03-06
Herkimer,107,2021-03-06
Jefferson,63,2021-03-06
Kings,6532,2021-03-06
Lewis,30,2021-03-06
Livingston,56,2021-03-06
Madison,85,2021-03-06
Manhattan,2714,2021-03-06
Monroe,998,2021-03-06
Montgomery,107,2021-03-06
Nassau,2956,2021-03-06
Niagara,316,2021-03-06
Non-NYS,194,2021-03-06
Oneida,481,2021-03-06
Onondaga,636,2021-03-06
Ontario,90,2021-03-06
Orange,648,2021-03-06
Orleans,82,2021-03-06
Oswego,89,2021-03-06
Otsego,43,2021-03-06
Putnam,86,2021-03-06
Queens,6344,2021-03-06
Rensselaer,132,2021-03-06
Richmond,1054,2021-03-06
Rockland,694,2021-03-06
Saratoga,149,2021-03-06
Schenectady,178,2021-03-06
Schoharie,13,2021-03-06
Schuyler,12,2021-03-06
Seneca,54,2021-03-06
St. Lawrence,91,2021-03-06
Statewide Total,39029,2021-03-06
Steuben,139,2021-03-06
Suffolk,3125,2021-03-06
Sullivan,60,2021-03-06
Tioga,56,2021-03-06
Tompkins,43,2021-03-06
Ulster,232,2021-03-06
Warren,55,2021-03-06
Washington,54,2021-03-06
Wayne,65,2021-03-06
Westchester,2125,2021-03-06
Wyoming,49,2021-03-06
Yates,26,2021-03-06
Albany,335,2021-03-07
Allegany,82,2021-03-07
Bronx,4168,2021-03-07
Broome,339,2021-03-07
Cattaraugus,77,2021-03-07
Cayuga,90,2021-03-07
Chautauqua,126,2021-03-07
Chemung,131,2021-03-07
Chenango,70,2021-03-07
Clinton,27,2021-03-07
Columbia,96,2021-03-07
Cortland,60,2021-03-07
Delaware,33,2021-03-07
Dutchess,414,2021-03-07
Erie,1621,2021-03-07
Essex,26,2021-03-07
Franklin,12,2021-03-07
Fulton,85,2021-03-07
Genesee,120,2021-03-07
Greene,71,2021-03-07
Hamilton,2,2021-03-07
Herkimer,107,2021-03-07
Jefferson,63,2021-03-07
Kings,6542,2021-03-07
Lewis,30,2021-03-07
Livingston,56,2021-03-07
Madison,85,2021-03-07
Manhattan,2721,2021-03-07
Monroe,999,2021-03-07
Montgomery,107,2021-03-07
Nassau,2962,2021-03-07
Niagara,316,2021-03-07
Non-NYS,194,2021-03-07
Oneida,481,2021-03-07
Onondaga,637,2021-03-07
Ontario,90,2021-03-07
Orange,648,2021-03-07
Orleans,82,2021-03-07
Oswego,89,2021-03-07
Otsego,43,2021-03-07
Putnam,86,2021-03-07
Queens,6357,2021-03-07
Rensselaer,132,2021-03-07
Richmond,1056,2021-03-07
Rockland,694,2021-03-07
Saratoga,149,2021-03-07
Schenectady,178,2021-03-07
Schoharie,13,2021-03-07
Schuyler,12,2021-03-07
Seneca,54,2021-03-07
St. Lawrence,91,2021-03-07
Statewide Total,39093,2021-03-07
Steuben,139,2021-03-07
Suffolk,3126,2021-03-07
Sullivan,60,2021-03-07
Tioga,56,2021-03-07
Tompkins,43,2021-03-07
Ulster,233,2021-03-07
Warren,55,2021-03-07
Washington,54,2021-03-07
Wayne,65,2021-03-07
Westchester,2128,2021-03-07
Wyoming,49,2021-03-07
Yates,26,2021-03-07
Albany,335,2021-03-08
Allegany,82,2021-03-08
Bronx,4176,2021-03-08
Broome,340,2021-03-08
Cattaraugus,77,2021-03-08
Cayuga,90,2021-03-08
Chautauqua,127,2021-03-08
Chemung,131,2021-03-08
Chenango,70,2021-03-08
Clinton,27,2021-03-08
Columbia,96,2021-03-08
Cortland,60,2021-03-08
Delaware,33,2021-03-08
Dutchess,415,2021-03-08
Erie,1622,2021-03-08
Essex,26,2021-03-08
Franklin,12,2021-03-08
Fulton,85,2021-03-08
Genesee,120,2021-03-08
Greene,71,2021-03-08
Hamilton,2,2021-03-08
Herkimer,107,2021-03-08
Jefferson,63,2021-03-08
Kings,6558,2021-03-08
Lewis,30,2021-03-08
Livingston,56,2021-03-08
Madison,85,2021-03-08
Manhattan,2725,2021-03-08
Monroe,999,2021-03-08
Montgomery,107,2021-03-08
Nassau,2967,2021-03-08
Niagara,317,2021-03-08
Non-NYS,194,2021-03-08
Oneida,481,2021-03-08
Onondaga,639,2021-03-08
Ontario,90,2021-03-08
Orange,652,2021-03-08
Orleans,82,2021-03-08
Oswego,89,2021-03-08
Otsego,44,2021-03-08
Putnam,87,2021-03-08
Queens,6369,2021-03-08
Rensselaer,132,2021-03-08
Richmond,1058,2021-03-08
Rockland,695,2021-03-08
Saratoga,149,2021-03-08
Schenectady,181,2021-03-08
Schoharie,13,2021-03-08
Schuyler,12,2021-03-08
Seneca,54,2021-03-08
St. Lawrence,91,2021-03-08
Statewide Total,39169,2021-03-08
Steuben,139,2021-03-08
Suffolk,3134,2021-03-08
Sullivan,60,2021-03-08
Tioga,56,2021-03-08
Tompkins,43,2021-03-08
Ulster,233,2021-03-08
Warren,55,2021-03-08
Washington,54,2021-03-08
Wayne,65,2021-03-08
Westchester,2132,2021-03-08
Wyoming,49,2021-03-08
Yates,26,2021-03-08
Albany,335,2021-03-09
Allegany,82,2021-03-09
Bronx,4184,2021-03-09
Broome,340,2021-03-09
Cattaraugus,77,2021-03-09
Cayuga,90,2021-03-09
Chautauqua,128,2021-03-09
Chemung,131,2021-03-09
Chenango,70,2021-03-09
Clinton,28,2021-03-09
Columbia,96,2021-03-09
Cortland,60,2021-03-09
Delaware,33,2021-03-09
Dutchess,415,2021-03-09
Erie,1626,2021-03-09
Essex,26,2021-03-09
Franklin,12,2021-03-09
Fulton,85,2021-03-09
Genesee,120,2021-03-09
Greene,71,2021-03-09
Hamilton,2,2021-03-09
Herkimer,107,2021-03-09
Jefferson,63,2021-03-09
Kings,6568,2021-03-09
Lewis,30,2021-03-09
Livingston,56,2021-03-09
Madison,85,2021-03-09
Manhattan,2735,2021-03-09
Monroe,1000,2021-03-09
Montgomery,107,2021-03-09
Nassau,2971,2021-03-09
Niagara,319,2021-03-09
Non-NYS,194,2021-03-09
Oneida,481,2021-03-09
Onondaga,640,2021-03-09
Ontario,90,2021-03-09
Orange,653,2021-03-09
Orleans,82,2021-03-09
Oswego,89,2021-03-09
Otsego,44,2021-03-09
Putnam,87,2021-03-09
Queens,6381,2021-03-09
Rensselaer,132,2021-03-09
Richmond,1059,2021-03-09
Rockland,695,2021-03-09
Saratoga,149,2021-03-09
Schenectady,182,2021-03-09
Schoharie,13,2021-03-09
Schuyler,12,2021-03-09
Seneca,54,2021-03-09
St. Lawrence,91,2021-03-09
Statewide Total,39230,2021-03-09
Steuben,139,2021-03-09
Suffolk,3136,2021-03-09
Sullivan,60,2021-03-09
Tioga,56,2021-03-09
Tompkins,43,2021-03-09
Ulster,233,2021-03-09
Warren,55,2021-03-09
Washington,54,2021-03-09
Wayne,65,2021-03-09
Westchester,2134,2021-03-09
Wyoming,49,2021-03-09
Yates,26,2021-03-09
Albany,336,2021-03-10
Allegany,82,2021-03-10
Bronx,4195,2021-03-10
Broome,340,2021-03-10
Cattaraugus,78,2021-03-10
Cayuga,90,2021-03-10
Chautauqua,128,2021-03-10
Chemung,131,2021-03-10
Chenango,70,2021-03-10
Clinton,28,2021-03-10
Columbia,96,2021-03-10
Cortland,60,2021-03-10
Delaware,33,2021-03-10
Dutchess,415,2021-03-10
Erie,1627,2021-03-10
Essex,26,2021-03-10
Franklin,12,2021-03-10
Fulton,85,2021-03-10
Genesee,120,2021-03-10
Greene,71,2021-03-10
Hamilton,2,2021-03-10
Herkimer,107,2021-03-10
Jefferson,63,2021-03-10
Kings,6581,2021-03-10
Lewis,30,2021-03-10
Livingston,57,2021-03-10
Madison,85,2021-03-10
Manhattan,2743,2021-03-10
Monroe,1001,2021-03-10
Montgomery,107,2021-03-10
Nassau,2974,2021-03-10
Niagara,320,2021-03-10
Non-NYS,195,2021-03-10
Oneida,483,2021-03-10
Onondaga,642,2021-03-10
Ontario,90,2021-03-10
Orange,655,2021-03-10
Orleans,82,2021-03-10
Oswego,89,2021-03-10
Otsego,44,2021-03-10
Putnam,87,2021-03-10
Queens,6398,2021-03-10
Rensselaer,132,2021-03-10
Richmond,1059,2021-03-10
Rockland,695,2021-03-10
Saratoga,149,2021-03-10
Schenectady,183,2021-03-10
Schoharie,13,2021-03-10
Schuyler,12,2021-03-10
Seneca,54,2021-03-10
St. Lawrence,92,2021-03-10
Statewide Total,39311,2021-03-10
Steuben,139,2021-03-10
Suffolk,3145,2021-03-10
Sullivan,60,2021-03-10
Tioga,56,2021-03-10
Tompkins,43,2021-03-10
Ulster,233,2021-03-10
Warren,55,2021-03-10
Washington,54,2021-03-10
Wayne,65,2021-03-10
Westchester,2139,2021-03-10
Wyoming,49,2021-03-10
Yates,26,2021-03-10
Albany,337,2021-03-11
Allegany,82,2021-03-11
Bronx,4208,2021-03-11
Broome,340,2021-03-11
Cattaraugus,79,2021-03-11
Cayuga,90,2021-03-11
Chautauqua,128,2021-03-11
Chemung,131,2021-03-11
Chenango,70,2021-03-11
Clinton,28,2021-03-11
Columbia,96,2021-03-11
Cortland,60,2021-03-11
Delaware,33,2021-03-11
Dutchess,417,2021-03-11
Erie,1627,2021-03-11
Essex,26,2021-03-11
Franklin,12,2021-03-11
Fulton,85,2021-03-11
Genesee,120,2021-03-11
Greene,71,2021-03-11
Hamilton,2,2021-03-11
Herkimer,107,2021-03-11
Jefferson,63,2021-03-11
Kings,6598,2021-03-11
Lewis,30,2021-03-11
Livingston,57,2021-03-11
Madison,85,2021-03-11
Manhattan,2751,2021-03-11
Monroe,1001,2021-03-11
Montgomery,107,2021-03-11
