county,deaths,date
Allegany,75,2021-01-04
Bronx,3571,2021-01-04
Broome,215,2021-01-04
Cattaraugus,47,2021-01-04
Cayuga,31,2021-01-04
Chautauqua,27,2021-01-04
Chemung,99,2021-01-04
Chenango,24,2021-01-04
Clinton,8,2021-01-04
Columbia,61,2021-01-04
Cortland,39,2021-01-04
Delaware,12,2021-01-04
Dutchess,252,2021-01-04
Erie,1249,2021-01-04
Essex,16,2021-01-04
Franklin,9,2021-01-04
Fulton,39,2021-01-04
Genesee,63,2021-01-04
Greene,30,2021-01-04
Hamilton,1,2021-01-04
Herkimer,30,2021-01-04
Jefferson,12,2021-01-04
Kings,5476,2021-01-04
Lewis,17,2021-01-04
Livingston,28,2021-01-04
Madison,71,2021-01-04
Manhattan,2270,2021-01-04
Monroe,615,2021-01-04
Montgomery,57,2021-01-04
Nassau,2431,2021-01-04
Niagara,192,2021-01-04
Non-NYS,157,2021-01-04
Oneida,276,2021-01-04
Onondaga,454,2021-01-04
Ontario,69,2021-01-04
Orange,526,2021-01-04
Orleans,64,2021-01-04
Oswego,47,2021-01-04
Otsego,16,2021-01-04
Putnam,67,2021-01-04
Queens,5418,2021-01-04
Rensselaer,87,2021-01-04
Richmond,904,2021-01-04
Rockland,597,2021-01-04
Saratoga,48,2021-01-04
Schenectady,95,2021-01-04
Schoharie,5,2021-01-04
Schuyler,10,2021-01-04
Seneca,41,2021-01-04
St. Lawrence,47,2021-01-04
Statewide Total,30802,2021-01-04
Steuben,125,2021-01-04
Suffolk,2376,2021-01-04
Sullivan,46,2021-01-04
Tioga,54,2021-01-04
Tompkins,16,2021-01-04
Ulster,151,2021-01-04
Warren,32,2021-01-04
Washington,16,2021-01-04
Wayne,43,2021-01-04
Westchester,1692,2021-01-04
Wyoming,27,2021-01-04
Yates,13,2021-01-04
Albany,221,2021-01-05
Allegany,75,2021-01-05
Bronx,3578,2021-01-05
Broome,217,2021-01-05
Cattaraugus,50,2021-01-05
Cayuga,34,2021-01-05
Chautauqua,28,2021-01-05
Chemung,99,2021-01-05
Chenango,26,2021-01-05
Clinton,9,2021-01-05
Columbia,62,2021-01-05
Cortland,41,2021-01-05
Delaware,13,2021-01-05
Dutchess,255,2021-01-05
Erie,1257,2021-01-05
Essex,16,2021-01-05
Franklin,9,2021-01-05
Fulton,39,2021-01-05
Genesee,66,2021-01-05
Greene,31,2021-01-05
Hamilton,1,2021-01-05
Herkimer,30,2021-01-05
Jefferson,12,2021-01-05
Kings,5495,2021-01-05
Lewis,17,2021-01-05
Livingston,28,2021-01-05
Madison,71,2021-01-05
Manhattan,2277,2021-01-05
Monroe,630,2021-01-05
Montgomery,58,2021-01-05
Nassau,2445,2021-01-05
Niagara,197,2021-01-05
Non-NYS,157,2021-01-05
Oneida,282,2021-01-05
Onondaga,465,2021-01-05
Ontario,70,2021-01-05
Orange,528,2021-01-05
Orleans,64,2021-01-05
Oswego,49,2021-01-05
Otsego,17,2021-01-05
Putnam,67,2021-01-05
Queens,5426,2021-01-05
Rensselaer,88,2021-01-05
Richmond,908,2021-01-05
Rockland,600,2021-01-05
Saratoga,48,2021-01-05
Schenectady,96,2021-01-05
Schoharie,5,2021-01-05
Schuyler,10,2021-01-05
Seneca,41,2021-01-05
St. Lawrence,48,2021-01-05
Statewide Total,30965,2021-01-05
Steuben,125,2021-01-05
Suffolk,2388,2021-01-05
Sullivan,46,2021-01-05
Tioga,54,2021-01-05
Tompkins,16,2021-01-05
Ulster,151,2021-01-05
Warren,32,2021-01-05
Washington,17,2021-01-05
Wayne,43,2021-01-05
Westchester,1697,2021-01-05
Wyoming,27,2021-01-05
Yates,13,2021-01-05
Albany,224,2021-01-06
Allegany,75,2021-01-06
Bronx,3590,2021-01-06
Broome,220,2021-01-06
Cattaraugus,51,2021-01-06
Cayuga,36,2021-01-06
Chautauqua,31,2021-01-06
Chemung,99,2021-01-06
Chenango,26,2021-01-06
Clinton,9,2021-01-06
Columbia,62,2021-01-06
Cortland,43,2021-01-06
Delaware,14,2021-01-06
Dutchess,260,2021-01-06
Erie,1263,2021-01-06
Essex,16,2021-01-06
Franklin,9,2021-01-06
Fulton,39,2021-01-06
Genesee,67,2021-01-06
Greene,32,2021-01-06
Hamilton,1,2021-01-06
Herkimer,32,2021-01-06
Jefferson,13,2021-01-06
Kings,5513,2021-01-06
Lewis,18,2021-01-06
Livingston,30,2021-01-06
Madison,71,2021-01-06
Manhattan,2283,2021-01-06
Monroe,642,2021-01-06
Montgomery,59,2021-01-06
Nassau,2452,2021-01-06
Niagara,203,2021-01-06
Non-NYS,158,2021-01-06
Oneida,287,2021-01-06
Onondaga,475,2021-01-06
Ontario,73,2021-01-06
Orange,535,2021-01-06
Orleans,65,2021-01-06
Oswego,51,2021-01-06
Otsego,17,2021-01-06
Putnam,67,2021-01-06
Queens,5440,2021-01-06
Rensselaer,89,2021-01-06
Richmond,913,2021-01-06
Rockland,600,2021-01-06
Saratoga,49,2021-01-06
Schenectady,100,2021-01-06
Schoharie,5,2021-01-06
Schuyler,10,2021-01-06
Seneca,42,2021-01-06
St. Lawrence,48,2021-01-06
Statewide Total,31164,2021-01-06
Steuben,126,2021-01-06
Suffolk,2410,2021-01-06
Sullivan,46,2021-01-06
Tioga,54,2021-01-06
Tompkins,18,2021-01-06
Ulster,154,2021-01-06
Warren,32,2021-01-06
Washington,18,2021-01-06
Wayne,46,2021-01-06
Westchester,1711,2021-01-06
Wyoming,29,2021-01-06
Yates,13,2021-01-06
Albany,226,2021-01-07
Allegany,75,2021-01-07
Bronx,3597,2021-01-07
Broome,223,2021-01-07
Cattaraugus,54,2021-01-07
Cayuga,37,2021-01-07
Chautauqua,31,2021-01-07
Chemung,101,2021-01-07
Chenango,28,2021-01-07
Clinton,11,2021-01-07
Columbia,62,2021-01-07
Cortland,43,2021-01-07
Delaware,14,2021-01-07
Dutchess,263,2021-01-07
Erie,1282,2021-01-07
Essex,16,2021-01-07
Franklin,9,2021-01-07
Fulton,40,2021-01-07
Genesee,73,2021-01-07
Greene,35,2021-01-07
Hamilton,1,2021-01-07
Herkimer,32,2021-01-07
Jefferson,14,2021-01-07
Kings,5526,2021-01-07
Lewis,18,2021-01-07
Livingston,30,2021-01-07
Madison,72,2021-01-07
Manhattan,2284,2021-01-07
Monroe,656,2021-01-07
Montgomery,59,2021-01-07
Nassau,2462,2021-01-07
Niagara,208,2021-01-07
Non-NYS,158,2021-01-07
Oneida,288,2021-01-07
Onondaga,487,2021-01-07
Ontario,73,2021-01-07
Orange,540,2021-01-07
Orleans,65,2021-01-07
Oswego,53,2021-01-07
Otsego,20,2021-01-07
Putnam,68,2021-01-07
Queens,5454,2021-01-07
Rensselaer,89,2021-01-07
Richmond,917,2021-01-07
Rockland,600,2021-01-07
Saratoga,51,2021-01-07
Schenectady,101,2021-01-07
Schoharie,5,2021-01-07
