county,date,aqi,pollutant,number_of_sites_reporting
Albany,2020-05-17,41,Ozone,2
Albany,2020-05-18,35,Ozone,2
Albany,2020-05-19,40,Ozone,2
Albany,2020-05-20,41,Ozone,2
Albany,2020-05-21,48,Ozone,2
Albany,2020-05-22,41,Ozone,2
Albany,2020-05-23,44,Ozone,2
Albany,2020-05-24,40,Ozone,2
Albany,2020-05-25,32,Ozone,2
Albany,2020-05-26,49,Ozone,2
Albany,2020-05-27,47,Ozone,2
Albany,2020-05-28,25,Ozone,2
Albany,2020-05-29,34,Ozone,2
Albany,2020-05-30,41,PM2.5,2
Albany,2020-05-31,29,Ozone,2
Albany,2020-06-01,32,Ozone,2
Albany,2020-06-02,52,PM2.5,2
Albany,2020-06-03,67,PM2.5,2
Albany,2020-06-04,53,PM2.5,2
Albany,2020-06-05,45,PM2.5,2
Albany,2020-06-06,46,Ozone,2
Albany,2020-06-07,28,Ozone,2
Albany,2020-06-08,26,Ozone,2
Albany,2020-06-09,44,Ozone,2
Albany,2020-06-10,49,Ozone,2
Albany,2020-06-11,36,Ozone,2
Albany,2020-06-12,37,Ozone,2
Albany,2020-06-13,24,Ozone,2
Albany,2020-06-14,28,PM2.5,2
Albany,2020-06-15,38,Ozone,2
Albany,2020-06-16,39,PM2.5,2
Albany,2020-06-17,67,Ozone,2
Albany,2020-06-18,29,Ozone,2
Albany,2020-06-19,43,Ozone,2
Albany,2020-06-20,44,Ozone,2
Albany,2020-06-21,44,Ozone,2
Albany,2020-06-22,44,Ozone,2
Albany,2020-06-23,71,Ozone,2
Albany,2020-06-24,38,Ozone,2
Albany,2020-06-25,38,Ozone,2
Albany,2020-06-26,40,Ozone,2
Albany,2020-06-27,44,PM2.5,2
Albany,2020-06-28,38,PM2.5,2
Albany,2020-06-29,36,PM2.5,2
Albany,2020-06-30,38,Ozone,2
Albany,2020-07-01,31,Ozone,2
Albany,2020-07-02,40,PM2.5,2
Albany,2020-07-03,52,PM2.5,2
Albany,2020-07-04,75,PM2.5,2
Albany,2020-07-05,68,PM2.5,2
Albany,2020-07-06,41,PM2.5,2
Albany,2020-07-07,45,Ozone,2
Albany,2020-07-08,47,PM2.5,2
Albany,2020-07-09,52,PM2.5,2
Albany,2020-07-10,30,PM2.5,2
Albany,2020-07-11,41,Ozone,2
Albany,2020-07-12,29,Ozone,2
Albany,2020-07-13,35,PM2.5,2
Albany,2020-07-14,28,PM2.5,2
Albany,2020-07-15,43,Ozone,2
Albany,2020-07-16,31,Ozone,2
Albany,2020-07-17,37,Ozone,2
Albany,2020-07-18,45,Ozone,2
Albany,2020-07-19,54,PM2.5,2
Albany,2020-07-20,38,Ozone,2
Albany,2020-07-21,32,Ozone,2
Albany,2020-07-22,38,Ozone,2
Albany,2020-07-23,34,Ozone,2
Albany,2020-07-24,40,PM2.5,2
Albany,2020-07-25,43,PM2.5,2
Albany,2020-07-26,43,PM2.5,2
Albany,2020-07-27,45,PM2.5,2
Albany,2020-07-28,28,Ozone,2
Albany,2020-07-29,38,Ozone,2
Albany,2020-07-30,38,Ozone,2
Albany,2020-07-31,30,Ozone,2
Albany,2020-08-01,36,Ozone,2
Albany,2020-08-02,40,PM2.5,2
Albany,2020-08-03,34,Ozone,2
Albany,2020-08-04,25,PM2.5,2
Albany,2020-08-05,32,Ozone,2
Albany,2020-08-06,36,Ozone,2
Albany,2020-08-07,43,PM2.5,2
Albany,2020-08-08,52,PM2.5,2
Albany,2020-08-09,48,PM2.5,2
Albany,2020-08-10,50,PM2.5,2
Albany,2020-08-11,50,Ozone,2
Albany,2020-08-12,38,Ozone,2
Albany,2020-08-13,43,PM2.5,2
Albany,2020-08-14,51,PM2.5,2
Albany,2020-08-15,38,PM2.5,2
Albany,2020-08-16,45,PM2.5,2
Albany,2020-08-17,41,PM2.5,2
Albany,2020-08-18,31,PM2.5,2
Albany,2020-08-19,26,PM2.5,2
Albany,2020-08-20,31,Ozone,2
Albany,2020-08-21,44,Ozone,2
Albany,2020-08-22,47,PM2.5,2
Albany,2020-08-23,54,PM2.5,2
Albany,2020-08-24,53,PM2.5,2
Albany,2020-08-25,45,PM2.5,2
Albany,2020-08-26,28,Ozone,2
Albany,2020-08-27,30,PM2.5,2
Albany,2020-08-28,38,PM2.5,2
Albany,2020-08-29,30,PM2.5,2
Albany,2020-08-30,24,Ozone,2
Albany,2020-08-31,25,Ozone,2
Albany,2020-09-01,27,Ozone,2
Albany,2020-09-02,25,PM2.5,2
Albany,2020-09-03,31,Ozone,2
Albany,2020-09-04,30,Ozone,2
Albany,2020-09-05,30,Ozone,2
Albany,2020-09-06,37,PM2.5,2
Albany,2020-09-07,43,Ozone,2
Albany,2020-09-08,42,Ozone,2
Albany,2020-09-09,42,PM2.5,2
Albany,2020-09-10,46,PM2.5,2
Albany,2020-09-11,27,Ozone,2
Albany,2020-09-12,28,PM2.5,2
Albany,2020-09-13,32,Ozone,2
Albany,2020-09-14,21,Ozone,2
Albany,2020-09-15,21,Ozone,2
Albany,2020-09-16,35,Ozone,2
Albany,2020-09-17,45,PM2.5,2
Albany,2020-09-18,29,Ozone,2
Albany,2020-09-19,26,Ozone,2
Albany,2020-09-20,29,PM2.5,2
Albany,2020-09-21,41,PM2.5,2
Albany,2020-09-22,43,PM2.5,2
Albany,2020-09-23,59,PM2.5,2
Albany,2020-09-24,71,PM2.5,2
Albany,2020-09-25,68,PM2.5,2
Albany,2020-09-26,66,PM2.5,2
Albany,2020-09-27,31,Ozone,2
Albany,2020-09-28,34,Ozone,2
Albany,2020-09-29,32,PM2.5,2
Albany,2020-09-30,27,Ozone,2
Albany,2020-10-01,35,PM2.5,2
Albany,2020-10-02,50,PM2.5,2
Albany,2020-10-03,39,PM2.5,2
Albany,2020-10-04,53,PM2.5,2
Albany,2020-10-05,55,PM2.5,2
Albany,2020-10-06,56,PM2.5,2
Albany,2020-10-07,42,PM2.5,2
Albany,2020-10-08,23,Ozone,2
Albany,2020-10-09,30,Ozone,2
Albany,2020-10-10,42,PM2.5,2
Albany,2020-10-11,22,Ozone,2
Albany,2020-10-12,25,Ozone,2
Albany,2020-10-13,22,Ozone,2
Albany,2020-10-14,37,PM2.5,2
Albany,2020-10-15,45,Ozone,2
Albany,2020-10-16,30,Ozone,2
Albany,2020-10-17,31,Ozone,2
Albany,2020-10-18,34,PM2.5,2
Albany,2020-10-19,38,PM2.5,2
Albany,2020-10-20,36,PM2.5,2
Albany,2020-10-21,46,PM2.5,2
Albany,2020-10-22,48,PM2.5,2
Albany,2020-10-23,63,PM2.5,2
Albany,2020-10-24,25,PM2.5,2
Albany,2020-10-25,27,Ozone,2
Albany,2020-10-26,35,PM2.5,2
Albany,2020-10-27,21,PM2.5,2
Albany,2020-10-28,48,PM2.5,2
Albany,2020-10-29,40,PM2.5,2
Albany,2020-10-30,39,PM2.5,2
Albany,2020-10-31,44,PM2.5,2
Albany,2020-11-01,38,PM2.5,2
Albany,2020-11-02,31,Ozone,2
Albany,2020-11-03,26,Ozone,2
Albany,2020-11-04,39,PM2.5,2
Albany,2020-11-05,52,PM2.5,2
Albany,2020-11-06,73,PM2.5,2
Albany,2020-11-07,105,PM2.5,2
Albany,2020-11-08,143,PM2.5,2
Albany,2020-11-09,120,PM2.5,2
Albany,2020-11-10,81,PM2.5,2
Albany,2020-11-11,32,PM2.5,2
Albany,2020-11-12,25,PM2.5,2
Albany,2020-11-13,51,PM2.5,2
Albany,2020-11-14,42,PM2.5,2
Albany,2020-11-15,52,PM2.5,2
Albany,2020-11-16,36,PM2.5,2
Albany,2020-11-17,48,PM2.5,2
Albany,2020-11-18,30,Ozone,2
Albany,2020-11-19,44,PM2.5,2
Albany,2020-11-20,55,PM2.5,2
Albany,2020-11-21,47,PM2.5,2
Albany,2020-11-22,55,PM2.5,2
Albany,2020-11-23,29,PM2.5,2
Albany,2020-11-24,30,PM2.5,2
Albany,2020-11-25,49,PM2.5,2
Albany,2020-11-26,57,PM2.5,2
Albany,2020-11-27,55,PM2.5,2
Albany,2020-11-28,64,PM2.5,2
Albany,2020-11-29,60,PM2.5,2
Albany,2020-11-30,74,PM2.5,1
Albany,2020-12-01,28,PM2.5,2
Albany,2020-12-02,31,Ozone,2
Albany,2020-12-03,30,PM2.5,2
Albany,2020-12-04,31,PM2.5,2
Albany,2020-12-05,33,PM2.5,2
Albany,2020-12-06,30,Ozone,2
Albany,2020-12-07,30,Ozone,2
Albany,2020-12-08,25,Ozone,2
Albany,2020-12-09,43,PM2.5,2
Albany,2020-12-10,29,PM2.5,2
Albany,2020-12-11,59,PM2.5,2
Albany,2020-12-12,78,PM2.5,2
Albany,2020-12-13,53,PM2.5,2
Albany,2020-12-14,26,PM2.5,2
Albany,2020-12-15,30,Ozone,2
Albany,2020-12-16,27,PM2.5,2
Albany,2020-12-17,28,Ozone,2
Albany,2020-12-18,43,PM2.5,2
Albany,2020-12-19,70,PM2.5,2
Albany,2020-12-20,75,PM2.5,2
Albany,2020-12-21,92,PM2.5,2
Albany,2020-12-22,66,PM2.5,2
Albany,2020-12-23,30,Ozone,2
Albany,2020-12-24,33,PM2.5,2
Albany,2020-12-25,35,Ozone,2
Albany,2020-12-26,24,Ozone,2
Albany,2020-12-27,35,PM2.5,2
Albany,2020-12-28,40,PM2.5,2
Albany,2020-12-29,31,Ozone,2
Albany,2020-12-30,25,PM2.5,2
Albany,2020-12-31,35,PM2.5,2
Bronx,2020-01-01,31,PM2.5,4
Bronx,2020-01-02,54,PM2.5,4
Bronx,2020-01-03,64,PM2.5,4
Bronx,2020-01-04,52,PM2.5,4
Bronx,2020-01-05,28,PM2.5,4
Bronx,2020-01-06,45,PM2.5,4
Bronx,2020-01-07,39,PM2.5,4
Bronx,2020-01-08,36,PM2.5,4
Bronx,2020-01-10,47,PM2.5,4
Bronx,2020-01-11,49,PM2.5,4
Bronx,2020-01-12,35,PM2.5,4
Bronx,2020-01-13,45,PM2.5,4
Bronx,2020-01-14,58,PM2.5,4
Bronx,2020-01-15,57,PM2.5,4
Bronx,2020-01-16,40,PM2.5,4
Bronx,2020-01-17,30,PM2.5,4
Bronx,2020-01-19,34,PM2.5,4
Bronx,2020-01-20,30,Ozone,4
Bronx,2020-01-21,31,PM2.5,4
Bronx,2020-01-23,72,PM2.5,4
Bronx,2020-01-24,77,PM2.5,4
Bronx,2020-01-25,35,PM2.5,4
Bronx,2020-01-26,29,PM2.5,4
Bronx,2020-01-27,33,PM2.5,4
Bronx,2020-01-28,29,Ozone,4
Bronx,2020-01-29,29,PM2.5,4
Bronx,2020-02-01,70,PM2.5,4
Bronx,2020-02-02,57,PM2.5,4
Bronx,2020-02-04,59,PM2.5,4
Bronx,2020-02-05,26,Ozone,4
Bronx,2020-02-06,32,PM2.5,4
Bronx,2020-02-08,39,PM2.5,4
Bronx,2020-02-09,50,PM2.5,4
Bronx,2020-02-10,43,PM2.5,4
Bronx,2020-02-11,35,PM2.5,4
Bronx,2020-02-12,45,PM2.5,4
Bronx,2020-02-14,30,Ozone,4
Bronx,2020-02-16,52,PM2.5,4
Bronx,2020-02-17,49,PM2.5,4
Bronx,2020-02-18,51,PM2.5,4
Bronx,2020-02-19,34,Ozone,4
Bronx,2020-02-20,31,Ozone,4
Bronx,2020-02-21,33,Ozone,4
Bronx,2020-02-22,44,PM2.5,4
Bronx,2020-02-23,54,PM2.5,4
Bronx,2020-02-24,69,PM2.5,4
Bronx,2020-02-25,54,PM2.5,4
Bronx,2020-02-26,36,Ozone,4
Bronx,2020-02-27,33,Ozone,4
Bronx,2020-02-28,33,PM2.5,4
Bronx,2020-02-29,32,Ozone,4
Bronx,2020-03-02,55,PM2.5,4
Bronx,2020-03-03,54,PM2.5,4
Bronx,2020-03-04,32,Ozone,4
Bronx,2020-03-05,32,Ozone,4
Bronx,2020-03-07,37,Ozone,4
Bronx,2020-03-08,33,Ozone,4
Bronx,2020-03-09,45,PM2.5,4
Bronx,2020-03-10,45,PM2.5,4
Bronx,2020-03-13,38,Ozone,3
Bronx,2020-03-14,35,Ozone,4
Bronx,2020-03-15,37,Ozone,4
Bronx,2020-03-16,34,Ozone,4
Bronx,2020-03-18,36,PM2.5,4
Bronx,2020-03-19,33,Ozone,4
Bronx,2020-03-20,52,PM2.5,4
Bronx,2020-03-21,38,Ozone,4
Bronx,2020-03-22,38,Ozone,4
Bronx,2020-03-23,33,Ozone,4
Bronx,2020-03-24,36,Ozone,4
Bronx,2020-03-25,33,Ozone,4
Bronx,2020-03-28,41,Ozone,4
Bronx,2020-03-29,40,Ozone,4
Bronx,2020-03-30,35,PM2.5,4
Bronx,2020-03-31,36,Ozone,4
Bronx,2020-04-01,40,Ozone,4
Bronx,2020-04-02,38,Ozone,4
Bronx,2020-04-03,31,Ozone,4
Bronx,2020-04-04,35,Ozone,4
Bronx,2020-04-05,50,PM2.5,4
Bronx,2020-04-06,39,Ozone,4
Bronx,2020-04-07,45,Ozone,4
Bronx,2020-04-08,50,PM2.5,4
Bronx,2020-04-09,40,Ozone,4
Bronx,2020-04-10,33,Ozone,4
Bronx,2020-04-11,41,Ozone,4
Bronx,2020-04-12,44,Ozone,4
Bronx,2020-04-13,41,Ozone,4
Bronx,2020-04-14,42,Ozone,4
Bronx,2020-04-15,42,Ozone,4
Bronx,2020-04-16,38,Ozone,4
Bronx,2020-04-17,41,PM2.5,4
Bronx,2020-04-18,39,Ozone,4
Bronx,2020-04-19,47,Ozone,4
Bronx,2020-04-21,35,Ozone,4
Bronx,2020-04-22,37,Ozone,4
Bronx,2020-04-23,40,PM2.5,4
Bronx,2020-04-24,31,Ozone,4
