Report Date,County,Place of Fatality,Deaths by County of Residence
1/3/21,St. Lawrence,45,46
1/3/21,Statewide Total,30648,30648
1/3/21,Steuben,109,125
1/3/21,Suffolk,2406,2361
1/3/21,Sullivan,37,42
1/3/21,Tioga,39,54
1/3/21,Tompkins,18,15
1/3/21,Ulster,90,149
1/3/21,Warren,37,32
1/3/21,Washington,11,16
1/3/21,Wayne,23,42
1/3/21,Westchester,1828,1683
1/3/21,Wyoming,20,26
1/3/21,Yates,8,13
1/4/21,Albany,316,216
1/4/21,Allegany,54,75
1/4/21,Bronx,3261,3571
1/4/21,Broome,235,215
1/4/21,Cattaraugus,43,47
1/4/21,Cayuga,23,31
1/4/21,Chautauqua,30,27
1/4/21,Chemung,123,99
1/4/21,Chenango,16,24
1/4/21,Clinton,10,8
1/4/21,Columbia,58,61
1/4/21,Cortland,39,39
1/4/21,Delaware,4,12
1/4/21,Dutchess,264,252
1/4/21,Erie,1331,1249
1/4/21,Essex,13,16
1/4/21,Franklin,8,9
1/4/21,Fulton,28,39
1/4/21,Genesee,57,63
1/4/21,Greene,13,30
1/4/21,Hamilton,0,1
1/4/21,Herkimer,14,30
1/4/21,Jefferson,11,12
1/4/21,Kings,4922,5476
1/4/21,Lewis,6,17
1/4/21,Livingston,15,28
1/4/21,Madison,66,71
1/4/21,Manhattan,3671,2270
1/4/21,Monroe,692,615
1/4/21,Montgomery,53,57
1/4/21,Nassau,2974,2431
1/4/21,Niagara,139,192
1/4/21,Non-NYS,0,157
1/4/21,Oneida,276,276
1/4/21,Onondaga,496,454
1/4/21,Ontario,82,69
1/4/21,Orange,543,526
1/4/21,Orleans,42,64
1/4/21,Oswego,40,47
1/4/21,Otsego,19,16
1/4/21,Putnam,66,67
1/4/21,Queens,4359,5418
1/4/21,Rensselaer,75,87
1/4/21,Richmond,902,904
1/4/21,Rockland,556,597
1/4/21,Saratoga,31,48
1/4/21,Schenectady,90,95
1/4/21,Schoharie,0,5
1/4/21,Schuyler,4,10
1/4/21,Seneca,27,41
1/4/21,St. Lawrence,46,47
1/4/21,Statewide Total,30802,30802
1/4/21,Steuben,109,125
1/4/21,Suffolk,2423,2376
1/4/21,Sullivan,40,46
1/4/21,Tioga,39,54
1/4/21,Tompkins,19,16
1/4/21,Ulster,91,151
1/4/21,Warren,37,32
1/4/21,Washington,11,16
1/4/21,Wayne,23,43
1/4/21,Westchester,1838,1692
1/4/21,Wyoming,21,27
1/4/21,Yates,8,13
1/5/21,Albany,323,221
1/5/21,Allegany,54,75
1/5/21,Bronx,3268,3578
1/5/21,Broome,237,217
1/5/21,Cattaraugus,46,50
1/5/21,Cayuga,26,34
1/5/21,Chautauqua,31,28
1/5/21,Chemung,123,99
1/5/21,Chenango,18,26
1/5/21,Clinton,11,9
1/5/21,Columbia,59,62
1/5/21,Cortland,41,41
1/5/21,Delaware,5,13
1/5/21,Dutchess,266,255
1/5/21,Erie,1340,1257
1/5/21,Essex,13,16
1/5/21,Franklin,8,9
1/5/21,Fulton,28,39
1/5/21,Genesee,59,66
1/5/21,Greene,13,31
1/5/21,Hamilton,0,1
1/5/21,Herkimer,14,30
1/5/21,Jefferson,11,12
1/5/21,Kings,4941,5495
1/5/21,Lewis,6,17
1/5/21,Livingston,15,28
1/5/21,Madison,66,71
1/5/21,Manhattan,3680,2277
1/5/21,Monroe,708,630
1/5/21,Montgomery,54,58
1/5/21,Nassau,2991,2445
1/5/21,Niagara,143,197
1/5/21,Non-NYS,0,157
1/5/21,Oneida,282,282
1/5/21,Onondaga,508,465
1/5/21,Ontario,83,70
1/5/21,Orange,546,528
1/5/21,Orleans,42,64
1/5/21,Oswego,41,49
1/5/21,Otsego,20,17
1/5/21,Putnam,66,67
1/5/21,Queens,4366,5426
1/5/21,Rensselaer,76,88
1/5/21,Richmond,904,908
1/5/21,Rockland,559,600
1/5/21,Saratoga,31,48
1/5/21,Schenectady,90,96
1/5/21,Schoharie,0,5
1/5/21,Schuyler,4,10
1/5/21,Seneca,27,41
1/5/21,St. Lawrence,47,48
1/5/21,Statewide Total,30965,30965
1/5/21,Steuben,109,125
1/5/21,Suffolk,2433,2388
1/5/21,Sullivan,40,46
1/5/21,Tioga,39,54
1/5/21,Tompkins,19,16
1/5/21,Ulster,91,151
1/5/21,Warren,38,32
1/5/21,Washington,11,17
1/5/21,Wayne,23,43
1/5/21,Westchester,1843,1697
1/5/21,Wyoming,21,27
1/5/21,Yates,8,13
1/6/21,Albany,330,224
1/6/21,Allegany,54,75
1/6/21,Bronx,3278,3590
1/6/21,Broome,240,220
1/6/21,Cattaraugus,47,51
1/6/21,Cayuga,28,36
1/6/21,Chautauqua,33,31
1/6/21,Chemung,123,99
1/6/21,Chenango,18,26
1/6/21,Clinton,11,9
1/6/21,Columbia,59,62
1/6/21,Cortland,43,43
1/6/21,Delaware,6,14
1/6/21,Dutchess,274,260
1/6/21,Erie,1351,1263
1/6/21,Essex,13,16
1/6/21,Franklin,8,9
1/6/21,Fulton,28,39
1/6/21,Genesee,61,67
1/6/21,Greene,14,32
1/6/21,Hamilton,0,1
1/6/21,Herkimer,14,32
1/6/21,Jefferson,11,13
1/6/21,Kings,4957,5513
1/6/21,Lewis,6,18
1/6/21,Livingston,16,30
1/6/21,Madison,66,71
1/6/21,Manhattan,3692,2283
1/6/21,Monroe,723,642
1/6/21,Montgomery,55,59
1/6/21,Nassau,3002,2452
1/6/21,Niagara,146,203
1/6/21,Non-NYS,0,158
1/6/21,Oneida,289,287
1/6/21,Onondaga,520,475
1/6/21,Ontario,87,73
1/6/21,Orange,552,535
1/6/21,Orleans,42,65
1/6/21,Oswego,41,51
1/6/21,Otsego,20,17
1/6/21,Putnam,66,67
1/6/21,Queens,4375,5440
1/6/21,Rensselaer,76,89
1/6/21,Richmond,909,913
1/6/21,Rockland,559,600
1/6/21,Saratoga,32,49
1/6/21,Schenectady,92,100
