Report Date,County,Place of Fatality,Deaths by County of Residence
3/14/21,Cayuga,77,90
3/14/21,Chautauqua,123,129
3/14/21,Chemung,160,131
3/14/21,Chenango,53,70
3/14/21,Clinton,35,29
3/14/21,Columbia,96,97
3/14/21,Cortland,58,60
3/14/21,Delaware,17,34
3/14/21,Dutchess,446,418
3/14/21,Erie,1786,1631
3/14/21,Essex,19,26
3/14/21,Franklin,10,12
3/14/21,Fulton,60,85
3/14/21,Genesee,104,120
3/14/21,Greene,29,71
3/14/21,Hamilton,0,2
3/14/21,Herkimer,53,107
3/14/21,Jefferson,54,63
3/14/21,Kings,5979,6645
3/14/21,Lewis,13,31
3/14/21,Livingston,34,57
3/14/21,Madison,72,85
3/14/21,Manhattan,4535,2768
3/14/21,Monroe,1134,1005
3/14/21,Montgomery,98,107
3/14/21,Nassau,3601,2987
3/14/21,Niagara,214,323
3/14/21,Non-NYS,0,197
3/14/21,Oneida,509,486
3/14/21,Onondaga,738,645
3/14/21,Ontario,110,90
3/14/21,Orange,679,661
3/14/21,Orleans,49,82
3/14/21,Oswego,65,89
3/14/21,Otsego,62,44
3/14/21,Putnam,83,88
3/14/21,Queens,5200,6434
3/14/21,Rensselaer,108,132
3/14/21,Richmond,1047,1067
3/14/21,Rockland,659,700
3/14/21,Saratoga,108,151
3/14/21,Schenectady,174,185
3/14/21,Schoharie,4,13
3/14/21,Schuyler,4,12
3/14/21,Seneca,30,55
3/14/21,St. Lawrence,85,92
3/14/21,Statewide Total,39585,39585
3/14/21,Steuben,118,140
3/14/21,Suffolk,3197,3162
3/14/21,Sullivan,49,62
3/14/21,Tioga,39,56
3/14/21,Tompkins,48,47
3/14/21,Ulster,138,233
3/14/21,Warren,76,55
3/14/21,Washington,32,54
3/14/21,Wayne,38,65
3/14/21,Westchester,2324,2149
3/14/21,Wyoming,36,49
3/14/21,Yates,20,26
3/15/21,Albany,537,339
3/15/21,Allegany,55,82
3/15/21,Bronx,3859,4248
3/15/21,Broome,373,341
3/15/21,Cattaraugus,78,79
3/15/21,Cayuga,77,90
3/15/21,Chautauqua,123,129
3/15/21,Chemung,160,131
3/15/21,Chenango,53,70
3/15/21,Clinton,35,29
3/15/21,Columbia,96,97
3/15/21,Cortland,58,60
3/15/21,Delaware,17,34
3/15/21,Dutchess,446,418
3/15/21,Erie,1787,1632
3/15/21,Essex,19,26
3/15/21,Franklin,10,12
3/15/21,Fulton,60,85
3/15/21,Genesee,104,120
3/15/21,Greene,29,71
3/15/21,Hamilton,0,2
3/15/21,Herkimer,53,107
3/15/21,Jefferson,54,63
3/15/21,Kings,5988,6654
3/15/21,Lewis,13,31
3/15/21,Livingston,34,57
3/15/21,Madison,72,85
3/15/21,Manhattan,4542,2771
3/15/21,Monroe,1136,1007
3/15/21,Montgomery,98,107
3/15/21,Nassau,3606,2992
3/15/21,Niagara,214,323
3/15/21,Non-NYS,0,197
3/15/21,Oneida,509,486
3/15/21,Onondaga,739,646
3/15/21,Ontario,110,90
3/15/21,Orange,679,661
3/15/21,Orleans,49,82
3/15/21,Oswego,65,89
3/15/21,Otsego,62,44
3/15/21,Putnam,83,88
3/15/21,Queens,5204,6441
3/15/21,Rensselaer,108,132
3/15/21,Richmond,1047,1067
3/15/21,Rockland,663,704
3/15/21,Saratoga,108,151
3/15/21,Schenectady,174,185
3/15/21,Schoharie,4,13
3/15/21,Schuyler,4,12
3/15/21,Seneca,30,55
3/15/21,St. Lawrence,85,92
3/15/21,Statewide Total,39636,39636
3/15/21,Steuben,118,140
3/15/21,Suffolk,3205,3170
3/15/21,Sullivan,49,62
3/15/21,Tioga,39,56
3/15/21,Tompkins,48,47
3/15/21,Ulster,138,233
3/15/21,Warren,76,55
3/15/21,Washington,32,54
3/15/21,Wayne,38,65
3/15/21,Westchester,2328,2152
3/15/21,Wyoming,36,49
3/15/21,Yates,20,26
3/16/21,Albany,538,339
3/16/21,Allegany,55,82
3/16/21,Bronx,3863,4252
3/16/21,Broome,373,341
3/16/21,Cattaraugus,78,79
3/16/21,Cayuga,77,90
3/16/21,Chautauqua,123,129
3/16/21,Chemung,160,131
3/16/21,Chenango,53,71
3/16/21,Clinton,35,29
3/16/21,Columbia,96,97
3/16/21,Cortland,58,60
3/16/21,Delaware,17,34
3/16/21,Dutchess,446,418
3/16/21,Erie,1788,1633
3/16/21,Essex,19,26
3/16/21,Franklin,10,12
3/16/21,Fulton,60,85
3/16/21,Genesee,104,120
3/16/21,Greene,30,72
3/16/21,Hamilton,0,2
3/16/21,Herkimer,53,107
3/16/21,Jefferson,54,63
3/16/21,Kings,6000,6668
3/16/21,Lewis,13,31
3/16/21,Livingston,34,57
3/16/21,Madison,73,85
3/16/21,Manhattan,4553,2781
3/16/21,Monroe,1137,1008
3/16/21,Montgomery,98,107
3/16/21,Nassau,3613,2998
3/16/21,Niagara,214,323
3/16/21,Non-NYS,0,197
3/16/21,Oneida,509,486
3/16/21,Onondaga,739,646
3/16/21,Ontario,110,90
3/16/21,Orange,679,661
3/16/21,Orleans,49,82
3/16/21,Oswego,65,89
3/16/21,Otsego,62,44
3/16/21,Putnam,83,88
3/16/21,Queens,5208,6445
3/16/21,Rensselaer,108,133
3/16/21,Richmond,1047,1067
3/16/21,Rockland,665,705
3/16/21,Saratoga,108,151
3/16/21,Schenectady,175,186
3/16/21,Schoharie,4,13
3/16/21,Schuyler,4,12
3/16/21,Seneca,30,55
3/16/21,St. Lawrence,85,92
3/16/21,Statewide Total,39690,39690
3/16/21,Steuben,118,140
3/16/21,Suffolk,3210,3176
3/16/21,Sullivan,49,62
3/16/21,Tioga,39,56
3/16/21,Tompkins,48,47
3/16/21,Ulster,138,233
3/16/21,Warren,76,55
3/16/21,Washington,32,54
3/16/21,Wayne,38,65
3/16/21,Westchester,2331,2155
3/16/21,Wyoming,36,49
3/16/21,Yates,20,26
3/17/21,Albany,538,339
3/17/21,Allegany,55,82
3/17/21,Bronx,3875,4264
3/17/21,Broome,373,341
3/17/21,Cattaraugus,78,79
3/17/21,Cayuga,77,90
3/17/21,Chautauqua,123,129
3/17/21,Chemung,161,131
3/17/21,Chenango,53,71
3/17/21,Clinton,35,29
3/17/21,Columbia,96,97
3/17/21,Cortland,58,60
3/17/21,Delaware,17,34
3/17/21,Dutchess,446,418
3/17/21,Erie,1789,1634
3/17/21,Essex,19,26
3/17/21,Franklin,10,12
3/17/21,Fulton,60,85
3/17/21,Genesee,104,120
3/17/21,Greene,30,72
3/17/21,Hamilton,0,2
3/17/21,Herkimer,53,107
3/17/21,Jefferson,54,63
3/17/21,Kings,6008,6678
3/17/21,Lewis,13,32
3/17/21,Livingston,34,57
3/17/21,Madison,73,85
3/17/21,Manhattan,4560,2785
3/17/21,Monroe,1139,1010
3/17/21,Montgomery,99,108
3/17/21,Nassau,3617,3000
3/17/21,Niagara,214,323
3/17/21,Non-NYS,0,198
3/17/21,Oneida,510,487
3/17/21,Onondaga,740,646
3/17/21,Ontario,110,90
3/17/21,Orange,679,661
3/17/21,Orleans,49,82
3/17/21,Oswego,65,89
3/17/21,Otsego,62,44
3/17/21,Putnam,84,88
3/17/21,Queens,5212,6452
3/17/21,Rensselaer,108,133
3/17/21,Richmond,1049,1069
3/17/21,Rockland,666,706
3/17/21,Saratoga,108,151
3/17/21,Schenectady,175,186
3/17/21,Schoharie,4,13
3/17/21,Schuyler,4,12
3/17/21,Seneca,30,55
3/17/21,St. Lawrence,85,92
3/17/21,Statewide Total,39748,39748
3/17/21,Steuben,118,140
3/17/21,Suffolk,3219,3185
3/17/21,Sullivan,49,62
3/17/21,Tioga,39,56
3/17/21,Tompkins,48,47
3/17/21,Ulster,138,233
3/17/21,Warren,76,55
3/17/21,Washington,32,54
3/17/21,Wayne,38,65
3/17/21,Westchester,2334,2159
3/17/21,Wyoming,36,49
3/17/21,Yates,20,26
3/18/21,Albany,538,339
3/18/21,Allegany,55,82
3/18/21,Bronx,3883,4272
3/18/21,Broome,373,341
3/18/21,Cattaraugus,78,79
3/18/21,Cayuga,77,90
3/18/21,Chautauqua,123,129
3/18/21,Chemung,161,131
3/18/21,Chenango,53,71
3/18/21,Clinton,35,29
3/18/21,Columbia,96,97
3/18/21,Cortland,58,60
3/18/21,Delaware,17,34
3/18/21,Dutchess,447,419
3/18/21,Erie,1791,1636
3/18/21,Essex,19,26
3/18/21,Franklin,10,12
3/18/21,Fulton,60,85
3/18/21,Genesee,104,120
3/18/21,Greene,30,72
3/18/21,Hamilton,0,2
3/18/21,Herkimer,53,107
3/18/21,Jefferson,54,63
3/18/21,Kings,6013,6684
3/18/21,Lewis,13,32
3/18/21,Livingston,34,57
3/18/21,Madison,73,85
3/18/21,Manhattan,4571,2794
3/18/21,Monroe,1139,1010
3/18/21,Montgomery,99,108
3/18/21,Nassau,3625,3006
3/18/21,Niagara,214,323
3/18/21,Non-NYS,0,199
3/18/21,Oneida,510,487
3/18/21,Onondaga,740,646
3/18/21,Ontario,110,90
3/18/21,Orange,681,663
3/18/21,Orleans,49,82
3/18/21,Oswego,65,89
3/18/21,Otsego,62,44
3/18/21,Putnam,84,88
3/18/21,Queens,5217,6459
3/18/21,Rensselaer,108,133
3/18/21,Richmond,1051,1071
3/18/21,Rockland,668,708
3/18/21,Saratoga,108,151
3/18/21,Schenectady,175,186
3/18/21,Schoharie,4,13
3/18/21,Schuyler,4,12
3/18/21,Seneca,30,55
3/18/21,St. Lawrence,86,93
3/18/21,Statewide Total,39808,39808
3/18/21,Steuben,118,140
3/18/21,Suffolk,3228,3194
3/18/21,Sullivan,50,63
3/18/21,Tioga,39,56
3/18/21,Tompkins,48,47
3/18/21,Ulster,138,233
3/18/21,Warren,76,55
3/18/21,Washington,32,54
3/18/21,Wayne,38,65
3/18/21,Westchester,2337,2162
3/18/21,Wyoming,36,49
3/18/21,Yates,20,26
3/19/21,Albany,539,339
3/19/21,Allegany,55,82
3/19/21,Bronx,3887,4277
3/19/21,Broome,373,341
3/19/21,Cattaraugus,78,79
3/19/21,Cayuga,77,90
3/19/21,Chautauqua,124,130
3/19/21,Chemung,161,131
3/19/21,Chenango,53,71
3/19/21,Clinton,35,30
3/19/21,Columbia,96,97
3/19/21,Cortland,58,60
3/19/21,Delaware,17,34
3/19/21,Dutchess,448,420
3/19/21,Erie,1792,1637
3/19/21,Essex,19,26
3/19/21,Franklin,10,12
3/19/21,Fulton,60,85
3/19/21,Genesee,104,120
3/19/21,Greene,30,72
3/19/21,Hamilton,0,2
3/19/21,Herkimer,53,107
3/19/21,Jefferson,54,63
3/19/21,Kings,6021,6697
3/19/21,Lewis,13,33
3/19/21,Livingston,34,57
3/19/21,Madison,73,85
3/19/21,Manhattan,4586,2800
3/19/21,Monroe,1141,1011
3/19/21,Montgomery,99,108
3/19/21,Nassau,3632,3012
3/19/21,Niagara,214,323
3/19/21,Non-NYS,0,199
3/19/21,Oneida,510,487
3/19/21,Onondaga,741,647
3/19/21,Ontario,110,90
3/19/21,Orange,683,664
3/19/21,Orleans,49,82
3/19/21,Oswego,65,89
3/19/21,Otsego,62,44
3/19/21,Putnam,84,88
3/19/21,Queens,5227,6473
3/19/21,Rensselaer,108,133
3/19/21,Richmond,1052,1072
3/19/21,Rockland,669,709
3/19/21,Saratoga,109,152
3/19/21,Schenectady,175,186
3/19/21,Schoharie,4,13
3/19/21,Schuyler,4,12
3/19/21,Seneca,30,55
3/19/21,St. Lawrence,86,93
3/19/21,Statewide Total,39870,39870
3/19/21,Steuben,118,140
3/19/21,Suffolk,3232,3198
3/19/21,Sullivan,50,63
3/19/21,Tioga,39,56
3/19/21,Tompkins,49,48
3/19/21,Ulster,138,234
3/19/21,Warren,76,55
3/19/21,Washington,32,54
3/19/21,Wayne,38,65
3/19/21,Westchester,2338,2163
3/19/21,Wyoming,36,49
3/19/21,Yates,20,26
3/20/21,Albany,539,339
3/20/21,Allegany,55,82
3/20/21,Bronx,3893,4283
3/20/21,Broome,374,342
3/20/21,Cattaraugus,78,79
3/20/21,Cayuga,77,90
3/20/21,Chautauqua,124,130
3/20/21,Chemung,161,131
3/20/21,Chenango,53,71
3/20/21,Clinton,35,30
3/20/21,Columbia,96,97
3/20/21,Cortland,58,60
3/20/21,Delaware,17,34
3/20/21,Dutchess,448,420
3/20/21,Erie,1796,1640
3/20/21,Essex,19,26
3/20/21,Franklin,10,12
3/20/21,Fulton,60,85
3/20/21,Genesee,104,120
3/20/21,Greene,30,72
3/20/21,Hamilton,0,2
3/20/21,Herkimer,53,107
3/20/21,Jefferson,54,63
3/20/21,Kings,6029,6706
3/20/21,Lewis,13,33
3/20/21,Livingston,34,57
3/20/21,Madison,73,85
3/20/21,Manhattan,4594,2807
3/20/21,Monroe,1142,1012
3/20/21,Montgomery,99,108
3/20/21,Nassau,3639,3017
3/20/21,Niagara,214,324
3/20/21,Non-NYS,0,199
3/20/21,Oneida,510,487
3/20/21,Onondaga,742,648
3/20/21,Ontario,111,90
3/20/21,Orange,683,664
3/20/21,Orleans,49,82
3/20/21,Oswego,65,89
3/20/21,Otsego,62,44
3/20/21,Putnam,84,89
3/20/21,Queens,5231,6478
3/20/21,Rensselaer,108,133
3/20/21,Richmond,1053,1073
3/20/21,Rockland,670,710
3/20/21,Saratoga,110,153
3/20/21,Schenectady,175,186
3/20/21,Schoharie,4,13
3/20/21,Schuyler,4,12
3/20/21,Seneca,30,56
3/20/21,St. Lawrence,86,93
3/20/21,Statewide Total,39924,39924
3/20/21,Steuben,118,140
3/20/21,Suffolk,3235,3202
3/20/21,Sullivan,51,64
3/20/21,Tioga,39,56
3/20/21,Tompkins,49,48
3/20/21,Ulster,138,234
3/20/21,Warren,76,55
3/20/21,Washington,32,54
3/20/21,Wayne,38,65
3/20/21,Westchester,2344,2168
3/20/21,Wyoming,36,49
3/20/21,Yates,20,26
3/21/21,Albany,539,339
3/21/21,Allegany,55,82
3/21/21,Bronx,3895,4285
3/21/21,Broome,374,342
3/21/21,Cattaraugus,78,79
3/21/21,Cayuga,77,90
3/21/21,Chautauqua,124,130
3/21/21,Chemung,161,131
3/21/21,Chenango,53,71
3/21/21,Clinton,35,30
3/21/21,Columbia,97,97
3/21/21,Cortland,58,60
3/21/21,Delaware,17,34
3/21/21,Dutchess,448,420
3/21/21,Erie,1797,1640
3/21/21,Essex,19,26
3/21/21,Franklin,10,12
3/21/21,Fulton,60,85
3/21/21,Genesee,104,120
3/21/21,Greene,30,73
3/21/21,Hamilton,0,2
3/21/21,Herkimer,53,107
3/21/21,Jefferson,54,63
3/21/21,Kings,6035,6712
3/21/21,Lewis,13,33
3/21/21,Livingston,35,58
3/21/21,Madison,73,85
3/21/21,Manhattan,4601,2813
3/21/21,Monroe,1143,1013
3/21/21,Montgomery,99,109
3/21/21,Nassau,3640,3017
3/21/21,Niagara,215,326
3/21/21,Non-NYS,0,199
3/21/21,Oneida,510,488
3/21/21,Onondaga,743,648
3/21/21,Ontario,111,90
3/21/21,Orange,684,664
3/21/21,Orleans,49,82
3/21/21,Oswego,65,89
3/21/21,Otsego,62,44
3/21/21,Putnam,84,89
3/21/21,Queens,5241,6489
3/21/21,Rensselaer,108,133
3/21/21,Richmond,1057,1077
3/21/21,Rockland,670,710
3/21/21,Saratoga,111,154
3/21/21,Schenectady,176,186
3/21/21,Schoharie,4,13
3/21/21,Schuyler,4,12
3/21/21,Seneca,30,56
3/21/21,St. Lawrence,86,93
3/21/21,Statewide Total,39970,39970
3/21/21,Steuben,118,140
3/21/21,Suffolk,3240,3207
3/21/21,Sullivan,51,64
3/21/21,Tioga,39,56
3/21/21,Tompkins,49,48
3/21/21,Ulster,138,235
3/21/21,Warren,76,55
3/21/21,Washington,32,54
3/21/21,Wayne,38,65
3/21/21,Westchester,2346,2171
3/21/21,Wyoming,36,49
3/21/21,Yates,20,26
3/22/21,Albany,539,339
3/22/21,Allegany,55,82
3/22/21,Bronx,3899,4290
3/22/21,Broome,374,342
3/22/21,Cattaraugus,78,79
3/22/21,Cayuga,77,90
3/22/21,Chautauqua,124,130
3/22/21,Chemung,161,131
3/22/21,Chenango,53,72
3/22/21,Clinton,35,30
3/22/21,Columbia,97,97
3/22/21,Cortland,58,60
3/22/21,Delaware,17,34
3/22/21,Dutchess,449,421
3/22/21,Erie,1797,1640
3/22/21,Essex,19,26
3/22/21,Franklin,10,12
3/22/21,Fulton,60,85
3/22/21,Genesee,104,120
3/22/21,Greene,30,73
3/22/21,Hamilton,0,2
3/22/21,Herkimer,53,107
3/22/21,Jefferson,54,63
3/22/21,Kings,6048,6726
3/22/21,Lewis,13,33
3/22/21,Livingston,35,58
3/22/21,Madison,73,85
3/22/21,Manhattan,4607,2816
3/22/21,Monroe,1144,1013
3/22/21,Montgomery,99,109
3/22/21,Nassau,3645,3021
3/22/21,Niagara,215,326
3/22/21,Non-NYS,0,199
3/22/21,Oneida,512,490
3/22/21,Onondaga,743,648
3/22/21,Ontario,111,90
3/22/21,Orange,685,664
3/22/21,Orleans,49,82
3/22/21,Oswego,65,89
3/22/21,Otsego,63,44
3/22/21,Putnam,84,89
3/22/21,Queens,5251,6500
3/22/21,Rensselaer,108,133
3/22/21,Richmond,1059,1079
3/22/21,Rockland,671,711
3/22/21,Saratoga,111,154
3/22/21,Schenectady,176,186
3/22/21,Schoharie,4,13
3/22/21,Schuyler,4,12
3/22/21,Seneca,30,56
3/22/21,St. Lawrence,86,93
3/22/21,Statewide Total,40023,40023
3/22/21,Steuben,118,140
3/22/21,Suffolk,3241,3209
3/22/21,Sullivan,51,64
3/22/21,Tioga,39,56
3/22/21,Tompkins,49,48
3/22/21,Ulster,138,236
3/22/21,Warren,76,55
3/22/21,Washington,32,54
3/22/21,Wayne,38,66
3/22/21,Westchester,2351,2176
3/22/21,Wyoming,36,49
3/22/21,Yates,20,26
3/23/21,Albany,540,339
3/23/21,Allegany,55,82
3/23/21,Bronx,3907,4302
3/23/21,Broome,374,342
3/23/21,Cattaraugus,78,79
3/23/21,Cayuga,77,90
3/23/21,Chautauqua,124,130
3/23/21,Chemung,161,131
3/23/21,Chenango,53,72
3/23/21,Clinton,35,30
3/23/21,Columbia,97,97
3/23/21,Cortland,58,60
3/23/21,Delaware,17,34
3/23/21,Dutchess,450,422
3/23/21,Erie,1799,1642
3/23/21,Essex,19,26
3/23/21,Franklin,10,12
3/23/21,Fulton,60,85
3/23/21,Genesee,105,121
3/23/21,Greene,30,73
3/23/21,Hamilton,0,2
3/23/21,Herkimer,53,107
3/23/21,Jefferson,54,63
3/23/21,Kings,6062,6741
3/23/21,Lewis,13,33
3/23/21,Livingston,35,58
3/23/21,Madison,73,85
3/23/21,Manhattan,4620,2825
3/23/21,Monroe,1145,1014
3/23/21,Montgomery,99,110
3/23/21,Nassau,3652,3026
3/23/21,Niagara,215,326
3/23/21,Non-NYS,0,200
3/23/21,Oneida,513,491
3/23/21,Onondaga,744,649
3/23/21,Ontario,111,90
3/23/21,Orange,685,664
3/23/21,Orleans,49,82
3/23/21,Oswego,65,89
3/23/21,Otsego,63,44
3/23/21,Putnam,84,89
3/23/21,Queens,5258,6507
3/23/21,Rensselaer,108,133
3/23/21,Richmond,1063,1083
3/23/21,Rockland,672,712
3/23/21,Saratoga,111,154
3/23/21,Schenectady,176,186
3/23/21,Schoharie,4,13
3/23/21,Schuyler,4,12
3/23/21,Seneca,30,56
3/23/21,St. Lawrence,87,94
3/23/21,Statewide Total,40096,40096
3/23/21,Steuben,118,140
3/23/21,Suffolk,3245,3214
3/23/21,Sullivan,51,64
3/23/21,Tioga,39,56
3/23/21,Tompkins,49,48
3/23/21,Ulster,138,236
3/23/21,Warren,76,55
3/23/21,Washington,32,54
3/23/21,Wayne,38,66
3/23/21,Westchester,2357,2181
3/23/21,Wyoming,36,49
3/23/21,Yates,20,26
3/24/21,Albany,540,339
3/24/21,Allegany,55,82
3/24/21,Bronx,3914,4312
3/24/21,Broome,374,342
3/24/21,Cattaraugus,78,79
3/24/21,Cayuga,77,90
3/24/21,Chautauqua,124,130
3/24/21,Chemung,161,131
3/24/21,Chenango,53,72
3/24/21,Clinton,35,30
3/24/21,Columbia,97,97
3/24/21,Cortland,58,60
3/24/21,Delaware,17,34
3/24/21,Dutchess,450,422
3/24/21,Erie,1801,1644
3/24/21,Essex,19,26
3/24/21,Franklin,10,12
3/24/21,Fulton,60,85
3/24/21,Genesee,105,121
3/24/21,Greene,30,73
3/24/21,Hamilton,0,2
3/24/21,Herkimer,53,107
3/24/21,Jefferson,54,63
3/24/21,Kings,6067,6746
3/24/21,Lewis,13,33
3/24/21,Livingston,35,58
3/24/21,Madison,73,85
3/24/21,Manhattan,4629,2830
3/24/21,Monroe,1145,1014
3/24/21,Montgomery,99,111
3/24/21,Nassau,3655,3029
3/24/21,Niagara,215,326
3/24/21,Non-NYS,0,200
3/24/21,Oneida,514,492
3/24/21,Onondaga,745,650
3/24/21,Ontario,111,90
3/24/21,Orange,685,665
3/24/21,Orleans,49,82
3/24/21,Oswego,65,89
3/24/21,Otsego,64,45
3/24/21,Putnam,84,89
3/24/21,Queens,5266,6516
3/24/21,Rensselaer,108,133
3/24/21,Richmond,1064,1084
3/24/21,Rockland,673,713
3/24/21,Saratoga,111,154
3/24/21,Schenectady,177,186
3/24/21,Schoharie,4,13
3/24/21,Schuyler,4,12
3/24/21,Seneca,30,56
3/24/21,St. Lawrence,87,94
3/24/21,Statewide Total,40141,40141
3/24/21,Steuben,118,140
3/24/21,Suffolk,3248,3217
3/24/21,Sullivan,51,64
3/24/21,Tioga,39,56
3/24/21,Tompkins,49,48
3/24/21,Ulster,138,236
3/24/21,Warren,76,55
3/24/21,Washington,32,54
3/24/21,Wayne,38,66
3/24/21,Westchester,2359,2182
3/24/21,Wyoming,36,49
3/24/21,Yates,20,26
3/25/21,Albany,540,339
3/25/21,Allegany,55,82
3/25/21,Bronx,3920,4318
3/25/21,Broome,375,342
3/25/21,Cattaraugus,78,79
3/25/21,Cayuga,77,90
3/25/21,Chautauqua,124,130
3/25/21,Chemung,161,131
3/25/21,Chenango,53,72
3/25/21,Clinton,35,30
3/25/21,Columbia,97,97
3/25/21,Cortland,58,60
3/25/21,Delaware,17,34
3/25/21,Dutchess,451,423
3/25/21,Erie,1802,1645
3/25/21,Essex,19,26
3/25/21,Franklin,10,12
3/25/21,Fulton,60,85
3/25/21,Genesee,105,121
3/25/21,Greene,30,73
3/25/21,Hamilton,0,2
3/25/21,Herkimer,53,107
3/25/21,Jefferson,54,63
3/25/21,Kings,6077,6755
3/25/21,Lewis,13,33
3/25/21,Livingston,35,58
3/25/21,Madison,73,85
3/25/21,Manhattan,4634,2834
3/25/21,Monroe,1146,1015
3/25/21,Montgomery,99,111
3/25/21,Nassau,3656,3029
3/25/21,Niagara,216,327
3/25/21,Non-NYS,0,200
3/25/21,Oneida,514,492
3/25/21,Onondaga,746,651
3/25/21,Ontario,111,90
3/25/21,Orange,685,665
3/25/21,Orleans,49,82
3/25/21,Oswego,65,89
3/25/21,Otsego,64,45
3/25/21,Putnam,84,89
3/25/21,Queens,5278,6531
3/25/21,Rensselaer,108,133
3/25/21,Richmond,1067,1087
3/25/21,Rockland,673,713
3/25/21,Saratoga,111,154
3/25/21,Schenectady,178,187
3/25/21,Schoharie,4,13
3/25/21,Schuyler,4,12
3/25/21,Seneca,30,56
3/25/21,St. Lawrence,87,94
3/25/21,Statewide Total,40190,40190
3/25/21,Steuben,118,140
3/25/21,Suffolk,3252,3221
3/25/21,Sullivan,51,64
3/25/21,Tioga,39,57
3/25/21,Tompkins,49,48
3/25/21,Ulster,138,236
3/25/21,Warren,76,55
3/25/21,Washington,32,54
3/25/21,Wayne,38,66
3/25/21,Westchester,2360,2183
3/25/21,Wyoming,36,49
3/25/21,Yates,20,26
3/26/21,Albany,541,340
3/26/21,Allegany,55,82
3/26/21,Bronx,3928,4326
3/26/21,Broome,376,343
3/26/21,Cattaraugus,78,79
3/26/21,Cayuga,77,90
3/26/21,Chautauqua,124,130
3/26/21,Chemung,161,131
3/26/21,Chenango,53,72
3/26/21,Clinton,35,30
3/26/21,Columbia,97,97
3/26/21,Cortland,58,60
3/26/21,Delaware,17,34
3/26/21,Dutchess,451,423
3/26/21,Erie,1804,1647
3/26/21,Essex,19,26
3/26/21,Franklin,10,12
3/26/21,Fulton,60,85
3/26/21,Genesee,105,121
3/26/21,Greene,30,73
3/26/21,Hamilton,0,2
3/26/21,Herkimer,53,107
3/26/21,Jefferson,54,63
3/26/21,Kings,6090,6769
3/26/21,Lewis,13,33
3/26/21,Livingston,35,58
3/26/21,Madison,73,85
3/26/21,Manhattan,4645,2843
3/26/21,Monroe,1149,1017
3/26/21,Montgomery,100,112
3/26/21,Nassau,3660,3032
3/26/21,Niagara,216,327
3/26/21,Non-NYS,0,200
3/26/21,Oneida,515,493
3/26/21,Onondaga,746,651
3/26/21,Ontario,111,90
3/26/21,Orange,686,668
3/26/21,Orleans,49,82
3/26/21,Oswego,65,89
3/26/21,Otsego,65,46
3/26/21,Putnam,84,90
3/26/21,Queens,5286,6540
3/26/21,Rensselaer,108,133
3/26/21,Richmond,1071,1091
3/26/21,Rockland,674,713
3/26/21,Saratoga,111,154
3/26/21,Schenectady,178,187
3/26/21,Schoharie,4,14
3/26/21,Schuyler,4,12
3/26/21,Seneca,30,56
3/26/21,St. Lawrence,87,94
3/26/21,Statewide Total,40266,40266
3/26/21,Steuben,118,140
3/26/21,Suffolk,3260,3229
3/26/21,Sullivan,51,64
3/26/21,Tioga,39,57
3/26/21,Tompkins,50,49
3/26/21,Ulster,138,236
3/26/21,Warren,77,55
3/26/21,Washington,32,55
3/26/21,Wayne,38,66
3/26/21,Westchester,2366,2188
3/26/21,Wyoming,36,49
3/26/21,Yates,20,26
3/27/20,Albany,0,0
3/27/20,Allegany,0,0
3/27/20,Bronx,0,0
3/27/20,Broome,4,0
3/27/20,Cattaraugus,0,0
3/27/20,Cayuga,0,0
3/27/20,Chautauqua,0,0
3/27/20,Chemung,0,0
3/27/20,Chenango,0,0
3/27/20,Clinton,0,0
3/27/20,Columbia,0,0
3/27/20,Cortland,0,0
3/27/20,Delaware,0,0
3/27/20,Dutchess,2,0
3/27/20,Erie,6,0
3/27/20,Essex,0,0
3/27/20,Franklin,0,0
3/27/20,Fulton,0,0
3/27/20,Genesee,0,0
3/27/20,Greene,0,0
3/27/20,Hamilton,0,0
3/27/20,Herkimer,0,0
3/27/20,Jefferson,0,0
3/27/20,Kings,0,0
3/27/20,Lewis,0,0
3/27/20,Livingston,0,0
3/27/20,Madison,1,0
3/27/20,Manhattan,0,0
3/27/20,Monroe,4,0
3/27/20,Montgomery,0,0
3/27/20,Nassau,75,0
3/27/20,Niagara,0,0
3/27/20,Non-NYS,0,0
3/27/20,Oneida,0,0
3/27/20,Onondaga,1,0
3/27/20,Ontario,0,0
3/27/20,Orange,5,0
3/27/20,Orleans,0,0
3/27/20,Oswego,0,0
3/27/20,Otsego,2,0
3/27/20,Putnam,0,0
3/27/20,Queens,0,0
3/27/20,Rensselaer,0,0
3/27/20,Richmond,0,0
3/27/20,Rockland,6,0
3/27/20,Saratoga,0,0
3/27/20,Schenectady,1,0
3/27/20,Schoharie,0,0
3/27/20,Schuyler,0,0
3/27/20,Seneca,0,0
3/27/20,St. Lawrence,0,0
3/27/20,Statewide Total,0,0
3/27/20,Steuben,0,0
3/27/20,Suffolk,40,0
3/27/20,Sullivan,0,0
3/27/20,Tioga,0,0
3/27/20,Tompkins,0,0
3/27/20,Ulster,0,0
3/27/20,Warren,0,0
3/27/20,Washington,0,0
3/27/20,Wayne,0,0
3/27/20,Westchester,36,0
3/27/20,Wyoming,0,0
3/27/20,Yates,0,0
3/27/21,Albany,541,340
3/27/21,Allegany,55,82
3/27/21,Bronx,3934,4334
3/27/21,Broome,376,343
